NMED_HIS_COD;NMED_CRE_FIC;NMED_PHA_CHR
0;20180605;01100
0;20180704;01104
0;20180710;01105
0;20180828;01112
0;20180905;01113
0;20180913;01114
0;20180927;01116
0;20181218;01128
0;20190103;01130
0;20190201;01134
0;20190212;01136
0;20190227;01138
0;20190321;01141
0;20190523;01150
0;20190604;01152
0;20190716;01158
0;20190730;01160
0;20190807;01161
0;20190820;01163
0;20190829;01164
0;20190903;01165
0;20191002;01169
0;20191022;01172
0;20191113;01175
0;20191120;01176
0;20191128;01177
0;20191205;01178
0;20191231;01182
0;20200128;01186
0;20200211;01188
0;20200218;01189
0;20200225;01190
0;20200303;01191
0;20200318;01193
0;20200326;01194
0;20200422;01198
0;20200505;01200
0;20200512;01201
0;20200520;01202
0;20200529;01203
0;20200605;01204
0;20200825;01216
0;20200902;01217
0;20201015;01223
0;20210202;01239
0;20210310;01244
0;20210401;01247
0;20210407;01248
0;20210419;01250
0;20210608;01256
0;20210622;01258
0;20210706;01260
0;20210728;01263
0;20210817;01266
0;20210831;01268
0;20210929;01272
0;20211005;01273
0;20211021;01275
0;20211209;01282
0;20211222;01284
0;20211227;01285
0;20220111;01287
0;20220316;01296
0;20220322;01297
0;20220421;01301
0;20220504;01303
0;20220601;01307
0;20131126;00865
0;20140206;00875
0;20131220;00868
0;20140129;00874
0;20140408;00884
0;20140505;00888
0;20140819;00903
0;20140702;00896
0;20140826;00904
0;20141008;00910
0;20140902;00905
0;20140930;00909
0;20141029;00913
0;20150128;00926
0;20150427;00939
0;20150602;00944
0;20150716;00950
0;20150826;00956
0;20150908;00958
0;20150917;00959
0;20151001;00961
0;20151103;00965
0;20151118;00967
0;20151125;00968
0;20151201;00969
0;20151218;00971
0;20151224;00972
0;20151230;00973
0;20160126;00977
0;20160210;00979
0;20160217;00980
0;20160315;00984
0;20160322;00985
0;20160406;00987
0;20160419;00989
0;20160712;01001
0;20160803;01004
0;20160810;01005
0;20160824;01007
0;20160830;01008
0;20161026;01016
0;20161103;01017
0;20161213;01023
0;20170323;01037
0;20170406;01039
0;20170711;01053
0;20170516;01045
0;20170725;01055
0;20171103;01069
0;20171121;01072
0;20180110;01079
0;20180207;01083
0;20180426;01094
0;20180628;01103
0;20180717;01106
0;20180725;01107
0;20180808;01109
0;20181004;01117
0;20181008;01118
0;20181022;01119
0;20181024;01120
0;20181031;01121
0;20181115;01123
0;20181123;01124
0;20181128;01125
0;20181205;01126
0;20181227;01129
0;20190122;01133
0;20190206;01135
0;20190326;01142
0;20190424;01146
0;20190507;01148
0;20190626;01155
0;20190703;01156
0;20190710;01157
0;20190813;01162
0;20190919;01167
0;20191104;01174
0;20191211;01179
0;20191218;01180
0;20200205;01187
0;20200310;01192
0;20200407;01196
0;20200415;01197
0;20200618;01206
0;20200622;01207
0;20200715;01210
0;20200729;01212
0;20200819;01215
0;20200914;01219
0;20201027;01225
0;20210113;01236
0;20210120;01237
0;20210211;01240
0;20210223;01242
0;20210428;01251
0;20210630;01259
0;20211013;01274
0;20211103;01277
0;20211108;01278
0;20211130;01281
0;20220125;01289
0;20220303;01294
0;20220519;01305
0;20220607;01308
0;20220706;01312
0;20220711;01313
0;20131203;00866
0;20131224;00869
0;20131210;00867
0;20131231;00870
0;20140113;00871
0;20140210;00876
0;20140307;00879
0;20140325;00882
0;20140401;00883
0;20140512;00889
0;20140429;00887
0;20140717;00898
0;20140729;00900
0;20140812;00902
0;20140808;00901
