GHS_NUM;GHS_CMD;GHM_NUM;GHS_SEU_BAS;GHS_SEU_HAU;GHS_PRI;EXH_PRI;EXB_FOR;EXB_PRI;MED_SUS_TAU;DMI_SUS_TAU;MED_CMD_TAU;DMI_CMD_TAU;TAR_IND;TAR_COE
2810;;08C323;8;49;10340.82;106.04;4326.52;;;;;;;
2811;;08C324;15;92;14900.45;301.41;4559.63;;;;;;;
2812;;08C32J;;;706.54;;;;;;;;;
2813;;08C331;2;9;3103.33;179.71;;1551.66;;;;;;
2814;;08C332;4;20;6380.69;132.88;3277.37;;;;;;;
2815;;08C333;7;37;8639.59;158.69;2258.90;;;;;;;
2816;;08C334;10;61;12448.26;382.04;3808.66;;;;;;;
2817;;08C341;2;11;3347.72;547.29;;1673.86;;;;;;
2818;;08C342;3;14;6889.27;892.38;3541.55;;;;;;;
2819;;08C343;;;9362.02;;;;;;;;;
2820;;08C344;;;13478.64;;;;;;;;;
2821;;08C351;2;10;3156.95;140.16;2399.62;;;;;;;
2822;;08C352;4;23;5255.62;134.15;2098.67;;;;;;;
2823;;08C353;7;41;7929.61;124.89;2673.98;;;;;;;
2824;;08C354;12;69;11426.63;309.71;3497.02;;;;;;;
2825;;08C35J;;;757.33;;;;;;;;;
2826;;08C361;2;6;2619.96;230.16;1239.18;;;;;;;
2827;;08C362;3;18;5381.87;552.35;2761.91;;;;;;;
2828;;08C363;;;7296.59;;;;;;;;;
2829;;08C364;;;10510.22;;;;;;;;;
2830;;08C36J;;;1380.78;;;;;;;;;
2831;;08C371;2;8;2782.39;88.52;1381.50;;;;;;;
2832;;08C372;4;22;5230.10;71.25;2447.71;;;;;;;
2833;;08C373;8;48;7093.59;71.01;1863.49;;;;;;;
2834;;08C374;15;92;10217.81;207.25;3124.22;;;;;;;
2835;;08C37J;;;1400.89;;;;;;;;;
2836;;08C381;;5;1593.09;84.11;;;;;;;;
2837;;08C382;4;21;3592.08;55.69;1998.99;;;;;;;
2838;;08C383;8;44;4873.00;92.38;1280.92;;;;;;;
2839;;08C384;11;67;6997.82;195.83;2124.82;;;;;;;
2840;;08C38J;;;1593.09;;;;;;;;;
2841;;08C391;;5;1985.22;136.79;;;;;;;;
2842;;08C392;3;17;3948.65;122.18;1963.44;;;;;;;
2843;;08C393;5;31;5659.18;130.62;1710.53;;;;;;;
2844;;08C394;9;50;8140.90;304.09;2481.72;;;;;;;
2845;;08C39J;;;1566.55;;;;;;;;;
2846;;08C401;;6;2223.67;388.59;;;;;;;;
2847;;08C402;3;12;4555.23;693.49;2331.56;;;;;;;
2848;;08C403;;;6197.92;;;;;;;;;
2849;;08C404;;;8935.40;;;;;;;;;
2850;;08C40J;;;899.35;;;;;;;;;
2851;;08C411;;5;2037.31;151.44;;;;;;;;
2852;;08C412;3;17;4181.15;124.24;2143.84;;;;;;;
2853;;08C413;5;29;5671.98;357.87;1490.83;;;;;;;
2854;;08C414;;;8170.09;;;;;;;;;
2855;;08C41J;;;1378.82;;;;;;;;;
2856;;08C421;2;7;2450.69;151.29;1079.40;;;;;;;
2857;;08C422;4;20;5045.31;129.18;2594.62;;;;;;;
2858;;08C423;6;34;6853.81;136.83;1808.49;;;;;;;
2859;;08C424;9;56;9864.11;328.93;3010.30;;;;;;;
2860;;08C42J;;;1371.29;;;;;;;;;
2861;;08C431;;4;1871.10;139.00;;;;;;;;
2862;;08C432;3;15;3843.28;104.91;1972.18;;;;;;;
2863;;08C433;5;28;5207.13;345.41;1363.85;;;;;;;
2864;;08C434;;;7507.02;;;;;;;;;
2865;;08C43J;;;1478.67;;;;;;;;;
