GHS_NUM;GHM_NUM;GHS_SEU_BAS;GHS_SEU_HAU;GHS_PRI;EXH_PRI;EHB_FOR;EHB_PRI
0321;01M313;5;44;7172.97;115.11;2369.43;0.00
0322;01M314;6;63;9360.01;276.25;2187.04;0.00
0323;01M31T;0;0;773.79;0.00;0.00;0.00
0324;01M32Z;0;0;770.80;0.00;0.00;0.00
0325;01M331;0;0;735.21;0.00;0.00;0.00
0326;01M332;0;19;2018.14;195.37;0.00;0.00
0327;01M333;0;0;2972.50;0.00;0.00;0.00
0328;01M334;0;0;4921.45;0.00;0.00;0.00
0329;01M34Z;3;26;3606.48;256.83;0.00;1006.37
0330;01M35Z;0;14;2366.15;314.97;0.00;0.00
0331;01M36E;0;0;695.97;0.00;0.00;0.00
0332;01M37E;0;0;658.53;0.00;0.00;0.00
0333;01M04T;0;0;559.37;0.00;0.00;0.00
0334;01M15T;0;0;741.20;0.00;0.00;0.00
0335;01M16T;0;0;830.90;0.00;0.00;0.00
0336;01M18T;0;0;850.10;0.00;0.00;0.00
0337;01M21T;0;0;475.89;0.00;0.00;0.00
0338;01M34T;0;0;587.38;0.00;0.00;0.00
0339;01M35T;0;0;562.22;0.00;0.00;0.00
0410;02C021;0;6;2717.70;220.08;0.00;0.00
0411;02C022;0;15;4698.39;572.46;0.00;0.00
0412;02C023;0;0;10397.03;0.00;0.00;0.00
0413;02C024;0;0;13563.86;0.00;0.00;0.00
0414;02C02J;0;0;1826.20;0.00;0.00;0.00
0415;02C031;2;7;2504.59;246.32;0.00;653.17
0416;02C032;0;18;5214.11;486.47;0.00;0.00
0417;02C033;4;31;11538.25;688.52;6324.14;0.00
0418;02C034;0;0;15052.69;0.00;0.00;0.00
0419;02C03J;0;0;1198.25;0.00;0.00;0.00
0420;02C051;0;3;1400.84;144.39;0.00;0.00
0421;02C052;0;17;3746.54;168.30;0.00;0.00
0422;02C053;4;44;8290.69;351.41;4544.15;0.00
0423;02C054;0;0;10815.95;0.00;0.00;0.00
0424;02C05J;0;0;1400.84;0.00;0.00;0.00
0425;02C061;2;6;1894.25;137.80;0.00;593.36
0426;02C062;0;25;4512.53;329.65;0.00;0.00
0427;02C063;0;0;9985.72;0.00;0.00;0.00
0428;02C064;0;0;13027.27;0.00;0.00;0.00
0429;02C06J;0;0;707.52;0.00;0.00;0.00
0430;02C071;0;4;1578.35;721.46;0.00;0.00
0431;02C072;0;0;3759.99;0.00;0.00;0.00
0432;02C073;0;0;8320.44;0.00;0.00;0.00
0433;02C074;0;0;10854.76;0.00;0.00;0.00
0434;02C07J;0;0;712.24;0.00;0.00;0.00
0435;02C081;0;4;1564.73;165.73;0.00;0.00
0436;02C082;0;20;4216.48;390.26;0.00;0.00
0437;02C083;0;31;9330.61;355.25;0.00;0.00
0438;02C084;0;39;12172.62;578.63;0.00;0.00
0439;02C08J;0;0;909.80;0.00;0.00;0.00
0440;02C091;2;8;3938.52;283.52;0.00;214.90
0441;02C092;0;21;5072.88;232.56;0.00;0.00
0442;02C093;0;0;7631.02;0.00;0.00;0.00
0443;02C094;0;0;12436.28;0.00;0.00;0.00
0444;02C09J;0;0;3508.71;0.00;0.00;0.00
0445;02C101;3;12;2600.48;264.02;0.00;670.39
0446;02C102;5;25;6032.74;451.97;3432.27;0.00
0447;02C103;0;37;13349.16;661.94;0.00;0.00
0448;02C104;0;0;17415.19;0.00;0.00;0.00
0449;02C10J;0;0;589.31;0.00;0.00;0.00
0450;02C111;0;5;2053.89;193.62;0.00;0.00
0451;02C112;0;19;4764.51;463.35;0.00;0.00
0452;02C113;0;0;10543.34;0.00;0.00;0.00
0453;02C114;0;0;13754.74;0.00;0.00;0.00
0454;02C11J;0;0;756.40;0.00;0.00;0.00
0455;02C121;0;5;1783.15;659.91;0.00;0.00
0456;02C122;0;0;4136.46;0.00;0.00;0.00
0457;02C123;0;0;9153.52;0.00;0.00;0.00
0458;02C124;0;0;11941.60;0.00;0.00;0.00
0459;02C12J;0;0;1601.56;0.00;0.00;0.00
0460;02C091;2;8;2970.13;283.52;0.00;214.90
0461;02C092;0;21;4104.50;232.56;0.00;0.00
0462;02C093;0;0;6662.63;0.00;0.00;0.00
0463;02C094;0;0;11467.89;0.00;0.00;0.00
0464;02C09J;0;0;2540.32;0.00;0.00;0.00
0506;02M021;0;4;980.51;103.19;0.00;0.00
0507;02M022;0;15;2115.62;163.71;0.00;0.00
0508;02M023;0;21;3097.90;273.60;0.00;0.00
0509;02M024;0;0;5003.17;0.00;0.00;0.00
0510;02M031;2;10;1963.92;146.49;0.00;673.62
0511;02M032;4;20;3442.47;145.24;1478.55;0.00
0512;02M033;6;31;5040.16;301.68;1597.69;0.00
0513;02M034;0;0;8139.96;0.00;0.00;0.00
0514;02M041;0;8;1481.21;152.23;0.00;0.00
0515;02M042;0;17;2882.90;148.73;0.00;0.00
0516;02M043;0;26;4221.43;294.90;0.00;0.00
0517;02M044;0;0;6817.70;0.00;0.00;0.00
0518;02M04T;0;0;548.83;0.00;0.00;0.00
0519;02M051;0;4;1074.85;136.88;0.00;0.00
0520;02M052;0;14;2443.65;309.81;0.00;0.00
0521;02M053;0;0;3578.24;0.00;0.00;0.00
0522;02M054;0;0;5778.92;0.00;0.00;0.00
0523;02M05T;0;0;679.09;0.00;0.00;0.00
0524;02M071;2;10;1876.50;121.57;0.00;687.43
0525;02M072;4;20;3273.99;108.58;1397.49;0.00
0526;02M073;4;34;4794.10;258.90;1520.11;0.00
0527;02M074;0;0;7742.57;0.00;0.00;0.00
0528;02M07T;0;0;501.65;0.00;0.00;0.00
0529;02M081;0;6;1283.01;152.44;0.00;0.00
0530;02M082;0;19;3374.64;142.44;0.00;0.00
0531;02M083;0;30;4941.49;302.74;0.00;0.00
0532;02M084;0;0;7980.60;0.00;0.00;0.00
0533;02M08T;0;0;432.40;0.00;0.00;0.00
0534;02M09Z;0;0;712.59;0.00;0.00;0.00
0535;02M10Z;0;22;2671.24;220.35;0.00;0.00
0536;02M10T;0;0;809.60;0.00;0.00;0.00
0624;03C051;0;11;4109.62;651.06;0.00;0.00
0625;03C052;0;13;8908.69;1275.50;0.00;0.00
0626;03C053;0;0;12834.85;0.00;0.00;0.00
0627;03C054;0;0;16320.98;0.00;0.00;0.00
0628;03C061;0;6;2100.99;255.33;0.00;0.00
