COD_RES;RES_LIB;TEC_COL
54230;NEUVES MAISONS;0
54240;JOEUF;0
54250;CHAMPIGNEULLES;0
54260;LONGUYON;0
54270;ESSEY LES NANCY;0
54280;SEICHAMPS;0
54290;BAYON;0
54300;LUNEVILLE;0
54310;HOMECOURT;0
54320;LAXOU;0
54330;VEZELISE;0
54340;POMPEY;0
54350;LONGWY;0
54360;BLAINVILLE SUR L EAU;0
54370;LUNEVILLE;0
54380;DIEULOUARD;0
54385;DOMEVRE EN HAYE;0
54390;FROUARD;0
54400;LONGWY;0
54410;LANEUVEVILLE DEVANT NANCY;0
54420;SAULXURES LES NANCY;0
54425;SAULXURES LES NANCY;0
54430;REHON;0
54440;HERSERANGE;0
54450;BLAMONT;0
54460;LIVERDUN;0
54470;THIAUCOURT REGNIEVILLE;0
54480;CIREY SUR VEZOUZE;0
54490;PIENNES;0
54500;VANDOEUVRE LES NANCY;0
54520;LAXOU;0
54570;FOUG;0
54590;HUSSIGNY GODBRANGE;0
54680;CRUSNES;0
54870;LEXY;0
54950;LUNEVILLE;0
55000;BAR LE DUC;0
55110;DUN SUR MEUSE;0
55150;DAMVILLERS;0
55160;FRESNES EN WOEVRE;0
55190;VOID VACON;0
55200;COMMERCY;0
55220;SOUILLY;0
55240;BOULIGNY;0
55270;VARENNES EN ARGONNE;0
55300;ST MIHIEL;0
55320;DIEUE SUR MEUSE;0
55430;BELLEVILLE SUR MEUSE;0
56000;VANNES;0
56110;GOURIN;0
56140;MALESTROIT;0
56170;QUIBERON;0
56220;MALANSAC;0
56240;PLOUAY;0
56340;CARNAC;0
56520;GUIDEL;0
56700;HENNEBONT;0
57000;METZ;0
57100;THIONVILLE;0
57130;ARS SUR MOSELLE;0
57155;MARLY;0
57170;CHATEAU SALINS;0
57190;FLORANGE;0
57230;BITCHE;0
57245;PELTRE;0
57260;DIEUZE;0
57280;MAIZIERES LES METZ;0
57310;GUENANGE;0
57320;BOUZONVILLE;0
57350;STIRING WENDEL;0
57370;PHALSBOURG;0
57380;FAULQUEMONT;0
57405;SARREBOURG;0
57412;KALHAUSEN;0
57430;SARRALBE;0
57450;FAREBERSVILLER;0
57470;HOMBOURG HAUT;0
57490;L HOPITAL;0
57515;ALSTING;0
57525;TALANGE;0
57540;PETITE ROSSELLE;0
57560;ABRESCHVILLER;0
57590;DELME;0
57620;LEMBERG;0
57635;SARREBOURG;0
57650;FONTOY;0
57660;GROSTENQUIN;0
57685;AUGNY;0
57700;HAYANGE;0
57730;FOLSCHVILLER;0
57860;MONTOIS LA MONTAGNE;0
57910;HAMBACH;0
57990;HUNDLING;0
58110;CHATILLON EN BAZOIS;0
58150;POUILLY SUR LOIRE;0
58180;FOURCHAMBAULT;0
40110;MORCENX;0
40120;ROQUEFORT;0
40130;CAPBRETON;0
40140;SOUSTONS;0
40150;HOSSEGOR;0
40160;PARENTIS EN BORN;0
40170;ST JULIEN EN BORN;0
40180;DAX;0
40190;VILLENEUVE DE MARSAN;0
40200;MIMIZAN;0
40210;LABOUHEYRE;0
40220;TARNOS;0
40230;ST VINCENT DE TYROSSE;0
40240;LABASTIDE D ARMAGNAC;0
40250;MUGRON;0
