ATT_ELE_MAT;ATT_ELD_MAT;ATT_ELP_MAT;ATT_ELD_LIB;TEC_COL
22;05;01;POSTES DE SOUDURE A L'ARC, PORTE ELECTRODE ET SES CABLES, COUP D'ARC (A L'EXCLUSION DES ACCIDENTS DUS A L'ELECTRICITE CLASSES A LA RUBRIQUE 39;0
22;06;01;MACHINES FIXES A DECOUPER AU CHALUMEAU;0
23;01;01;NON PRECISE : MACHINES A RIVETER, COUDRE, AGRAFER, METRE LES OEILLETS;0
23;02;01;NON CLASSE - MACHINES A SPIRALER LES CAHIERS, MACHINES A BROCHER, ENCARTER;0
23;03;01;MACHINES FIXES A RIVETER;0
23;04;01;MACHINES A COUDRE.;0
23;05;01;MACHINES A AGRAFER, A PIQUER;0
23;06;01;MACHINES A METTRE LES OEILLETS;0
24;01;01;NON PRECISE : MACHINES A REMPLIR, CONDITIONNER, EMPAQUETER, EMBALLER, CLOUER;0
24;02;01;NON CLASSE - (ENCAISSEUSES ET DECAISSEUSES 06 - 02) ERTISSEUSES (SANS REMPLISSAGE), PLACEUSE - PLIEUSES, FABRICATION DE SACS OU BOITES EN PAPIER, CARTON, EMMOULEUSES (PATISSERIE ET CONFISERIE);0
24;03;01;REMPLISSEUSES, CAPSULEUSES, BOUCHEUSES DE BOUTEILLES, SOUTIREUSES;0
24;04;01;MACHINES A REMPLIR ET A FERMER - SOUVENT AVEC SERTISSAGE, RAVIOLEUSES, BONBONS FOURRES;0
24;05;01;MACHINES A CONDITIONNER (CHOCOLAT...), EMPAQUETER, ENVELOPPER;0
24;06;01;ENSACHEUSES;0
24;07;01;MACHINES A COLLER DES ETIQUETTES;0
24;08;01;MACHINES A CLOUER. - (CAISSES ET TALONS);0
25;01;01;NON PRECISE : MACHINES A EFFILOCHER, OUVRIR, BATTRE, CARDER;0
25;02;01;NON CLASSE CI-DESSOUS;0
25;03;01;CHARGEUSES, BRISE-BALLES;0
25;04;01;OUVREUSES, EFFILOCHEUSES, BATTEURS, LOUPS;0
25;05;01;CARDES, CARDEUSES;0
26;01;01;NON PRECISE : MACHINES DE FILATURES, DE TISSAGE, DE CABLERIE ET D'APPRET (AUTRES QUE CELLES CLASSEES A LA RUBRIQUE 25);0
26;02;01;NON CLASSE - MACHINES A TRESSER OU ENROULER UNE BANDE AUTOUR DES TUYAUX ET CABLES.;0
26;03;01;ETIRAGE, LAMINOIRS, GRILLS, PEIGNEUSES. - (VOIR 16-04);0
26;04;01;BANCS A BROCHES CONTINUS, A FILER, A RETORDRE;0
26;05;01;METIERS A FILER;0
26;06;01;MACHINES DE CABLERIE (FIL FIN);0
26;07;01;BOBINOIRS MOULEURS, CANNETIERES.- ENROULEUSES ET DEROULEUSES DE TISSUS ENDUITS OU NON;0
26;08;01;OURDISSOIRS;0
26;09;01;ENCOLLEUSES;0
26;10;01;METIERS A TISSER (TEXTILES);0
26;11;01;METIERS A TISSER OU A GRILLAGER (METAUX);0
26;12;01;MACHINES A TRICOTER;0
26;13;01;CABLEUSES, TORONNEUSES, BOBINOIRS (METAUX). - SPIRALEUSES (CABLES);0
27;01;01;NON PRECISE : MATERIELS ET ENGINS DE TERRASSEMENT ET TRAVAUX ANNEXES;0
27;02;01;NON CLASSE;0
27;03;01;ENGINS DE TRANSPORT DE TERRASSEMENTS ET MATERIAUX DIVERS (CAMIONS, BENNES, DUMPERS, REMORQUES). LORSQU'IL S'AGIT D'ACCIDENTS SURVENUS, EN DEHORS DES TRAVAUX DE TERRASEMENT PROPREMENTS DITS;0
