MED_NCL_IDT;MED_MTF_COD;MED_MTF_LIB;TEC_COL
CIM10;C43;A COMPLETER;0
CIM10;C44;A COMPLETER;0
CIM10;C45;A COMPLETER;0
CIM10;C46;A COMPLETER;0
CIM10;C47;T.M.NERF PER& AUTON;0
CIM10;C48;T.M. (RETRO)PERITOI;0
CIM10;C49;T.M.TISSU CONJ &MOU;0
CIM10;C50;A COMPLETER;0
CIM10;C51;A COMPLETER;0
CIM10;C52;A COMPLETER;0
CIM10;C53;T.M. COL DE L'UTERUS;0
CIM10;C54;A COMPLETER;0
CIM10;C55;T.M. 'UTERUS, SAI;0
CIM10;C56;A COMPLETER;0
CIM10;C57;T.M.ORG GEN.FEM.,SAI;0
CIM10;C58;A COMPLETER;0
CIM10;C60;A COMPLETER;0
CIM10;C61;A COMPLETER;0
CIM10;C62;A COMPLETER;0
CIM10;C63;T.M ORG.GEN.MASC,SAI;0
CIM10;C64;T.M REIN,Sf BASSINET;0
CIM10;C65;A COMPLETER;0
CIM10;C66;A COMPLETER;0
CIM10;C67;A COMPLETER;0
CIM10;C68;T.M.ORG.URIN.,SAI;0
CIM10;C69;T.M OEIL ET ANNEXES;0
CIM10;C70;A COMPLETER;0
CIM10;C71;A COMPLETER;0
CIM10;C72;T.M.MOELLE EP.NERFS;0
CIM10;C73;A COMPLETER;0
CIM10;C74;A COMPLETER;0
CIM10;C75;T.M AUT Gld. ENDO.ET;0
CIM10;C76;A COMPLETER;0
CIM10;C77;T.M.Ggl.LYMPH.2re.;0
CIM10;C78;T.M 2re RESP.ET DIG.;0
CIM10;C79;T.M. 2re.AUT. SIEGES;0
CIM10;C80;A COMPLETER;0
CIM10;C81;A COMPLETER;0
CIM10;C82;LYMPH.FOLL.NON HODG;0
CIM10;C83;LYMPH.DIFF NON HODG;0
CIM10;C84;LYMPH.PERIPH. ET CUT;0
CIM10;C85;AUT.LYMPH. NON HODG.;0
CIM10;C88;MAL.IMMUNOPROLI.MAL.;0
CIM10;C90;MYELOME MULT& A PLAS;0
CIM10;C91;A COMPLETER;0
CIM10;C92;A COMPLETER;0
CIM10;C93;A COMPLETER;0
CIM10;C94;LEUCEM. ç. PREC.,NCA;0
CIM10;C95;A COMPLETER;0
CIM10;C96;T.M. TISSU LYMPH,HEM;0
CIM10;C97;T.M.SIEGES MULT.IND.;0
CIM10;D00;K IN SITU BOUCHE,OE;0
CIM10;D01;K IN SITU ORG. DIG.,;0
CIM10;D02;K IN SITU APP. RESP.;0
CIM10;D03;A COMPLETER;0
CIM10;D04;K IN SITU DE LA PEAU;0
CIM10;D05;K IN SITU DU SEIN;0
CIM10;D06;K IN SITU COL UTERUS;0
CIM10;D07;K IN SITU ORG. GEN.;0
CIM10;D09;K IN SITU SIEGE NCA;0
CIM10;D10;A COMPLETER;0
CIM10;D11;A COMPLETER;0
CIM10;D12;A COMPLETER;0
CIM10;D13;A COMPLETER;0
CIM10;D14;A COMPLETER;0
CIM10;D15;A COMPLETER;0
CIM10;D16;A COMPLETER;0
CIM10;D17;A COMPLETER;0
CIM10;D18;A COMPLETER;0
CIM10;D19;A COMPLETER;0
CIM10;D20;A COMPLETER;0
CIM10;D21;A COMPLETER;0
CIM10;D22;A COMPLETER;0
CIM10;D23;A COMPLETER;0
CIM10;D24;A COMPLETER;0
CIM10;D25;A COMPLETER;0
CIM10;D26;A COMPLETER;0
CIM10;D27;A COMPLETER;0
CIM10;D28;A COMPLETER;0
CIM10;D29;A COMPLETER;0
CIM10;D30;A COMPLETER;0
CIM10;D31;A COMPLETER;0
CIM10;D32;A COMPLETER;0
CIM10;D33;A COMPLETER;0
CIM10;D34;A COMPLETER;0
CIM10;D35;A COMPLETER;0
CIM10;D36;A COMPLETER;0
CIM10;D37;A COMPLETER;0
CIM10;D38;A COMPLETER;0
CIM10;D39;A COMPLETER;0
CIM10;D40;A COMPLETER;0
CIM10;D41;A COMPLETER;0
CIM10;D42;A COMPLETER;0
CIM10;D43;A COMPLETER;0
CIM10;D44;A COMPLETER;0
CIM10;D45;A COMPLETER;0
CIM10;D46;A COMPLETER;0
CIM10;D47;A COMPLETER;0
CIM10;D48;A COMPLETER;0
CIM10;D50;A COMPLETER;0
CIM10;D51;A COMPLETER;0
CIM10;D52;A COMPLETER;0
CIM10;D53;A COMPLETER;0
CIM10;D55;A COMPLETER;0
CIM10;D56;A COMPLETER;0
CIM10;D560;A COMPLETER;0
CIM10;D561;A COMPLETER;0
CIM10;D562;DELTA-BETA-THALASSEM;0
CIM10;D568;A COMPLETER;0
CIM10;D569;A COMPLETER;0
CIM10;D57;A COMPLETER;0
CIM10;D570;ANEMIE A HEMAT.FALC.;0
CIM10;D571;ANEMIE A HEMAT.FALC.;0
CIM10;D572;ANEMIE A HEMAT.FALC.;0
CIM10;D578;AFF.A HEMAT.FALC.NCA;0
CIM10;D58;A COMPLETER;0
CIM10;D582;A COMPLETER;0
CIM10;D59;A COMPLETER;0
CIM10;D60;APLAS MEDULL.ACQUIS;0
CIM10;D61;APLASIES MEDULL.,NCA;0
CIM10;D610;APLASIE MEDUL.CONSTI;0
CIM10;D611;APLASIE MEDUL.MEDIC.;0
CIM10;D612;APLAS.MEDUL.PAR AGEN;0
CIM10;D613;APLASIE MEDUL.IDIOP.;0
CIM10;D618;APLASIE MEDUL.PREC.;0
CIM10;D619;APLASIE MEDULL., SAI;0
CIM10;D62;A COMPLETER;0
CIM10;D63;A COMPLETER;0
CIM10;D64;A COMPLETER;0
CIM10;D65;A COMPLETER;0
CIM10;D66;A COMPLETER;0
CIM10;D67;A COMPLETER;0
CIM10;D68;A COMPLETER;0
CIM10;D680;MAL.  VON WILLEBRAND;0
CIM10;D681;CARENCE HER.FACT. XI;0
CIM10;D682;CAR. AUT.FACT. COAG.;0
CIM10;D683;Tb. EMOR./ANTIC.CIRC;0
CIM10;D688;ANOM.PREC. COAG.NCA;0
CIM10;D69;A COMPLETER;0
CIM10;D691;MODIF. QUAL. PLAQUET;0
CIM10;D693;PURPURA THROMB.IDIOP;0
CIM10;D694;THROMBOPEN. Ire.,NCA;0
CIM10;D696;A COMPLETER;0
CIM10;D70;A COMPLETER;0
CIM10;D71;A COMPLETER;0
CIM10;D72;A COMPLETER;0
CIM10;D73;A COMPLETER;0
CIM10;D74;A COMPLETER;0
CIM10;D75;A COMPLETER;0
CIM10;D76;A COMPLETER;0
CIM10;D77;A COMPLETER;0
CIM10;D80;DEFIC.IMM.DEFICIT AC;0
CIM10;D81;DEFIC. IMMUN. COMBIN;0
CIM10;D82;A COMPLETER;0
CIM10;D821;A COMPLETER;0
CIM10;D83;DEFIC. IMM. COMM. V.;0
CIM10;D84;A COMPLETER;0
CIM10;D841;A COMPLETER;0
CIM10;D848;DEFIC. IMMUN. PREC.,;0
CIM10;D849;A COMPLETER;0
CIM10;D86;A COMPLETER;0
CIM10;D860;A COMPLETER;0
CIM10;D862;A COMPLETER;0
CIM10;D868;A COMPLETER;0
CIM10;D89;A COMPLETER;0
CIM10;E00;A COMPLETER;0
CIM10;E01;A COMPLETER;0
CIM10;E02;A COMPLETER;0
CIM10;E03;A COMPLETER;0
CIM10;E04;A COMPLETER;0
CIM10;E05;A COMPLETER;0
CIM10;E06;A COMPLETER;0
CIM10;E07;A COMPLETER;0
CIM10;E071;Tbl. HORMONOSYNTH.;0
CIM10;E10;A COMPLETER;0
CIM10;E11;A COMPLETER;0
CIM10;E12;A COMPLETER;0
CIM10;E13;AUTRE DIABETE SUCRE;0
CIM10;E14;A COMPLETER;0
CIM10;E15;A COMPLETER;0
CIM10;E16;A COMPLETER;0
CIM10;E20;A COMPLETER;0
CIM10;E21;A COMPLETER;0
CIM10;E22;A COMPLETER;0
CIM10;E23;A COMPLETER;0
CIM10;E24;A COMPLETER;0
CIM10;E25;A COMPLETER;0
CIM10;E250;ANOM.GEN-SURR.CONG.;0
CIM10;E26;A COMPLETER;0
CIM10;E27;A COMPLETER;0
CIM10;E28;A COMPLETER;0
CIM10;E29;A COMPLETER;0
CIM10;E30;A COMPLETER;0
CIM10;E31;A COMPLETER;0
CIM10;E32;A COMPLETER;0
CIM10;E34;A COMPLETER;0
CIM10;E35;A COMPLETER;0
CIM10;E40;A COMPLETER;0
CIM10;E41;A COMPLETER;0
CIM10;E42;A COMPLETER;0
CIM10;E43;A COMPLETER;0
CIM10;E44;A COMPLETER;0
CIM10;E45;A COMPLETER;0
CIM10;E46;A COMPLETER;0
CIM10;E50;A COMPLETER;0
CIM10;E51;A COMPLETER;0
CIM10;E52;A COMPLETER;0
CIM10;E53;A COMPLETER;0
CIM10;E531;CARENCE PYRIDOXINE;0
CIM10;E54;A COMPLETER;0
CIM10;E55;A COMPLETER;0
CIM10;E56;A COMPLETER;0
CIM10;E58;A COMPLETER;0
CIM10;E59;A COMPLETER;0
CIM10;E60;A COMPLETER;0
CIM10;E61;A COMPLETER;0
CIM10;E63;A COMPLETER;0
