ETB_FIN_NUM;ETB_FIN_CLE;ORG_GRG_COD;ORG_CAI_NUM
26000301;7;1;261
26000314;0;1;261
26000321;5;1;261
26000626;7;1;261
26000682;0;1;261
26000683;8;1;261
26001041;8;1;261
26001276;0;1;261
26001338;8;1;261
26001699;3;1;261
27000031;8;1;271
27000032;6;1;271
27000034;2;1;271
27000037;5;1;271
27000038;3;1;271
27000043;3;1;271
27000086;2;1;271
27000087;0;1;271
27001605;8;1;271
28000003;5;1;281
28000015;9;1;281
28000028;2;1;281
28000043;1;1;281
28000044;9;1;281
28000167;8;1;281
28050274;1;1;281
28050384;8;1;281
28050407;7;1;281
28050430;9;1;281
28050468;9;1;281
28050522;3;1;281
28050526;4;1;281
28050577;7;1;281
28050601;5;1;281
29000014;0;1;292
29000016;5;1;292
29000020;7;1;292
29000021;5;1;292
29000036;3;1;292
29000037;1;1;292
29000067;8;1;292
29000073;6;1;292
29000074;4;1;292
29000081;9;1;292
29000085;0;1;292
29000395;3;1;292
29000414;2;1;292
29000513;1;1;292
29000517;2;1;292
29000523;0;1;292
29001628;6;1;292
29001629;4;1;292
29001854;8;1;292
29001855;5;1;292
29001856;3;1;292
29001977;7;1;292
29002107;0;1;292
29002343;1;1;292
29002377;9;1;292
29002378;7;1;292
29002379;5;1;292
29002380;3;1;292
29002381;1;1;292
29002402;5;1;292
29002533;7;1;292
29002966;9;1;292
30000250;8;1;301
30000858;8;1;301
30000863;8;1;301
30078013;7;1;301
30078015;2;1;301
30078021;0;1;301
30078022;8;1;301
30078023;6;1;301
30078024;4;1;301
30078025;1;1;301
30078026;9;1;301
30078028;5;1;301
30078043;4;1;301
30078044;2;1;301
30078049;1;1;301
30078111;9;1;301
30078142;4;1;301
30078144;0;1;301
30078146;5;1;301
30078742;1;1;301
30078850;2;1;301
31000647;3;1;311
31000648;1;1;311
31001868;4;1;311
31078008;5;1;311
31078010;1;1;311
31078011;9;1;311
31078013;5;1;311
31078014;3;1;311
31078015;0;1;311
31078019;2;1;311
31078023;4;1;311
31078025;9;1;311
31078028;3;1;311
31078030;9;1;311
31078035;8;1;311
31078036;6;1;311
31078037;4;1;311
31078038;2;1;311
31078039;0;1;311
31078040;8;1;311
31078045;7;1;311
31078053;1;1;311
31078100;0;1;311
31078112;5;1;311
31078113;3;1;311
31078114;1;1;311
31078115;8;1;311
31078117;4;1;311
31078118;2;1;311
31078150;5;1;311
31078152;1;1;311
31078169;5;1;311
31078195;0;1;311
31078198;4;1;311
31078201;6;1;311
31078206;5;1;311
31078208;1;1;311
31078239;6;1;311
31078483;0;1;311
31078638;9;1;311
31078670;2;1;311
31079047;2;1;311
31079263;5;1;311
31079340;1;1;311
31079341;9;1;311
31079343;5;1;311
31079354;2;1;311
31079355;9;1;311
31079356;7;1;311
31079357;5;1;311
31079361;7;1;311
31079380;7;1;311
31079384;9;1;311
31079441;7;1;311
31079452;4;1;311
31079453;2;1;311
31079489;6;1;311
31079676;8;1;311
31079677;6;1;311
31079753;5;1;311
32000068;0;1;321
32000105;0;1;321
32000107;6;1;321
32000168;8;1;321
32078006;7;1;321
32078010;9;1;321
32078433;3;1;321
32078451;5;1;321
32078468;9;1;321
32078558;7;1;321
33000740;2;1;331
33000741;0;1;331
33000743;6;1;331
33000755;0;1;331
33000757;6;1;331
33000758;4;1;331
33000762;6;1;331
33000763;4;1;331
33000764;2;1;331
33000766;7;1;331
33000767;5;1;331
33000768;3;1;331
33000772;5;1;331
33000790;7;1;331
33000801;2;1;331
33001798;9;1;331
33005445;3;1;331
33005446;1;1;331
33005622;7;1;331
33005628;4;1;331
33005649;0;1;331
33005651;6;1;331
33005668;0;1;331
33005765;4;1;331
33078004;0;1;331
33078007;3;1;331
33078008;1;1;331
33078010;7;1;331
33078011;5;1;331
33078012;3;1;331
33078014;9;1;331
33078020;6;1;331
33078024;8;1;331
33078025;5;1;331
33078026;3;1;331
33078027;1;1;331
33078029;7;1;331
33078030;5;1;331
33078031;3;1;331
33078032;1;1;331
33078035;4;1;331
33078038;8;1;331
33078044;6;1;331
33078045;3;1;331
33078046;1;1;331
33078047;9;1;331
33078048;7;1;331
33078050;3;1;331
33078051;1;1;331
33078071;9;1;331
33078073;5;1;331
33078077;6;1;331
33078115;4;1;331
33078140;2;1;331
33078162;6;1;331
33078235;0;1;331
33078258;2;1;331
33078337;4;1;331
