GHS_NUM;GHS_NUM_NUM;GHS_CMD;GHS_CMD_BIS;GHS_CMD_NUM;GHM_NUM;GHM_NUM_BIS;GHS_SEU_BA1;GHS_SEU_BA2;GHS_SEU_HA1;GHS_SEU_HA2;GHS_PR1;GHS_PR2;EXH_PR1;EXH_PR2;VER_10B;VER_10C;MED_SUS_TAU;DMI_SUS_TAU;MED_CMD_TAU;DMI_CMD_TAU;TAR_IND;TAR_COE
6301;;;;;17C02V;;;;31;31;4721.85;4721.85;458.37;458.37;;;;;;;;
6302;;;;;17C02W;;5;5;39;39;9827.50;9827.50;471.11;471.11;;;;;;;;
6303;;;;;17C03V;;;;33;33;3509.46;3509.46;436.66;436.66;;;;;;;;
6304;;;;;17C03W;;;;41;41;9949.92;9949.92;452.89;452.89;;;;;;;;
6305;;;;;17C04V;;4;4;32;32;7018.35;7018.35;524.61;524.61;;;;;;;;
6306;;;;;17C04W;;6;6;40;40;9841.95;9841.95;450.81;450.81;;;;;;;;
6307;;;;;17C05V;;;;26;26;3396.35;3396.35;459.60;459.60;;;;;;;;
6308;;;;;17C05W;;;;32;32;6940.91;6940.91;395.52;395.52;;;;;;;;
6450;;;;;17K02Z;;;;15;15;1796.79;1796.79;429.36;429.36;;;;;;;;
6452;;;;;17K04Z;;;;17;17;3219.72;3219.72;341.96;341.96;;;;;;;;
6453;;;;;17M01S;;;;46;46;10684.78;10684.78;431.58;431.58;;;;;;;;
6457;;;;;17M04Z;;;;15;15;2367.71;2367.71;387.07;387.07;;;;;;;;
6458;;;;;17M05Z;;;;19;19;5605.31;5605.31;549.34;549.34;;;;;;;;
6459;;;;;17M06V;;;;12;12;1773.25;1773.25;423.78;423.78;;;;;;;;
6460;;;;;17M06W;;;;15;15;2903.99;2903.99;377.29;377.29;;;;;;;;
6461;;;;;17M07V;;;;21;21;2407.15;2407.15;392.85;392.85;;;;;;;;
6462;;;;;17M07W;;;;26;26;4190.70;4190.70;298.16;298.16;;;;;;;;
6463;;;;;17K05Z;;;;3;3;1640.21;1640.21;576.03;576.03;;;;;;;;
6464;;;;;17K06Z;;;;12;12;2191.71;2191.71;375.95;375.95;;;;;;;;
6465;;;;;17M08Z;;;;43;43;16445.37;16445.37;710.00;710.00;;;;;;;;
6466;;;;;17M09V;;;;41;41;8205.40;8205.40;542.75;542.75;;;;;;;;
6467;;;;;17M09W;;;;51;51;14642.62;14642.62;532.74;532.74;;;;;;;;
6468;;;;;17M10V;;;;27;27;3650.60;3650.60;378.18;378.18;;;;;;;;
6469;;;;;17M10W;;3;3;34;34;6044.63;6044.63;331.63;331.63;;;;;;;;
6700;;;;;18C02V;;;;42;42;4757.48;4757.48;373.30;373.30;;;;;;;;
6701;;;;;18C02W;;6;6;52;52;9862.78;9862.78;350.77;350.77;;;;;;;;
6750;;;;;18M02V;;;;15;15;1669.74;1669.74;403.58;403.58;;;;;;;;
6751;;;;;18M02W;;;;15;15;3382.93;3382.93;471.88;471.88;;;;;;;;
6752;;;;;18M03Z;;;;15;15;2682.10;2682.10;323.37;323.37;;;;;;;;
6753;;;;;18M04V;;;;17;17;2294.30;2294.30;309.58;309.58;;;;;;;;
6754;;;;;18M04W;;;;21;21;4015.61;4015.61;349.27;349.27;;;;;;;;
6755;;;;;18M05V;;;;22;22;2673.15;2673.15;298.39;298.39;;;;;;;;
6756;;;;;18M05W;;3;3;28;28;4387.11;4387.11;290.77;290.77;;;;;;;;
6757;;;;;18M06Z;;;;17;17;4558.26;4558.26;480.26;480.26;;;;;;;;
6758;;;;;18M07V;;;;28;28;3557.66;3557.66;268.86;268.86;;;;;;;;
6759;;;;;18M07W;;5;5;35;35;5280.22;5280.22;278.84;278.84;;;;;;;;
6760;;;;;18M08V;;;;19;19;2185.73;2185.73;346.04;346.04;;;;;;;;
6761;;;;;18M08W;;;;24;24;3945.45;3945.45;298.78;298.78;;;;;;;;
6762;;;;;18Z01S;;3;3;47;47;7638.97;7638.97;301.07;301.07;;;;;;;;
7000;;;;;19C02Z;;;;38;38;6159.18;6159.18;299.49;299.49;;;;;;;;
7050;;;;;19M02V;;;;21;21;2083.88;2083.88;284.67;284.67;;;;;;;;
7051;;;;;19M02W;;;;26;26;3380.11;3380.11;243.16;243.16;;;;;;;;
7052;;;;;19M03Z;;;;34;34;5439.07;5439.07;293.58;293.58;;;;;;;;
7053;;;;;19M04Z;;5;5;33;33;4376.06;4376.06;245.05;245.05;;;;;;;;
7054;;;;;19M05Z;;;;22;22;3093.98;3093.98;255.09;255.09;;;;;;;;
7055;;;;;19M06V;;;;31;31;3847.96;3847.96;244.16;244.16;;;;;;;;
7056;;;;;19M06W;;6;6;39;39;5117.47;5117.47;241.32;241.32;;;;;;;;
7057;;;;;19M07V;;;;30;30;3582.90;3582.90;257.98;257.98;;;;;;;;
7058;;;;;19M07W;;3;3;38;38;5288.90;5288.90;259.50;259.50;;;;;;;;
7059;;;;;19M08Z;;;;15;15;3284.21;3284.21;398.78;398.78;;;;;;;;
7060;;;;;19M09Z;;;;17;17;2618.13;2618.13;282.06;282.06;;;;;;;;
7061;;;;;19M10Z;;;;18;18;2562.25;2562.25;265.11;265.11;;;;;;;;
7062;;;;;19M11V;;;;22;22;2277.06;2277.06;246.95;246.95;;;;;;;;
7063;;;;;19M11W;;4;4;27;27;3587.42;3587.42;241.01;241.01;;;;;;;;
7250;;;;;20Z02Z;;3;3;20;20;2395.34;2395.34;220.42;220.42;;;;;;;;
7251;;;;;20Z03Z;;;;15;15;1974.09;1974.09;256.22;256.22;;;;;;;;
7252;;;;;20Z04Z;;;;22;22;2395.34;2395.34;196.58;196.58;;;;;;;;
7253;;;;;20Z05Z;;;;15;15;1750.54;1750.54;269.66;269.66;;;;;;;;
7254;;;;;20Z06V;;;;23;23;2710.09;2710.09;251.23;251.23;;;;;;;;
7255;;;;;20Z06W;;4;4;29;29;3888.71;3888.71;245.19;245.19;;;;;;;;
7256;;;;;20Z04Z;;;;22;22;4643.10;4643.10;381.04;381.04;;;;;;;;
7257;;;;;20Z02Z;;3;3;20;20;4643.10;4643.10;427.25;427.25;;;;;;;;
7400;;;;;21C01S;;7;7;83;83;18517.79;18517.79;414.14;414.14;;;;;;;;
7401;;;;;21C02Z;;;;24;24;5274.32;5274.32;405.66;405.66;;;;;;;;
7402;;;;;21C03Z;;;;55;55;10207.51;10207.51;345.44;345.44;;;;;;;;
7403;;;;;21C04Z;;;;15;15;3472.36;3472.36;561.72;561.72;;;;;;;;
7404;;;;;21C05V;;;;35;35;4985.66;4985.66;395.30;395.30;;;;;;;;
7405;;;;;21C05W;;3;3;44;44;9481.38;9481.38;395.51;395.51;;;;;;;;
7550;;;;;21M01S;;;;30;30;5028.16;5028.16;308.48;308.48;;;;;;;;
7551;;;;;21M02Z;;;;15;15;2111.38;2111.38;360.93;360.93;;;;;;;;
7552;;;;;21M03V;;;;15;15;1176.34;1176.34;284.64;284.64;;;;;;;;
7553;;;;;21M03W;;;;19;19;2749.07;2749.07;259.94;259.94;;;;;;;;
7554;;;;;21M04Z;;;;11;11;2279.76;2279.76;617.00;617.00;;;;;;;;
7555;;;;;21M05Z;;;;15;15;1432.47;1432.47;285.84;285.84;;;;;;;;
7556;;;;;21M06Z;;;;15;15;1853.98;1853.98;377.79;377.79;;;;;;;;
7557;;;;;21M07V;;;;17;17;1638.10;1638.10;319.17;319.17;;;;;;;;
7558;;;;;21M07W;;;;21;21;3045.10;3045.10;266.82;266.82;;;;;;;;
7559;;;;;21M08V;;;;18;18;2179.05;2179.05;348.31;348.31;;;;;;;;
7560;;;;;21M08W;;;;22;22;3163.23;3163.23;266.99;266.99;;;;;;;;
7561;;;;;21M09V;;;;21;21;2631.25;2631.25;325.54;325.54;;;;;;;;
7562;;;;;21M09W;;;;26;26;4490.82;4490.82;318.23;318.23;;;;;;;;
7800;;;;;22C02Z;;;;54;54;15140.14;15140.14;520.34;520.34;;;;;;;;
7801;;;;;22C03Z;;;;36;36;8214.04;8214.04;418.30;418.30;;;;;;;;
7850;;;;;22M02Z;;;;20;20;3565.45;3565.45;330.82;330.82;;;;;;;;
7851;;;;;22Z02Z;;;;92;92;49868.38;49868.38;1011.78;1011.78;;;;;;;;
7900;;;;;23C02Z;;;;22;22;4980.51;4980.51;418.83;418.83;;;;;;;;
7950;;;;;23M02Z;;;;23;23;3659.57;3659.57;290.92;290.92;;;;;;;;
7951;;;;;23M03V;;;;22;22;2329.88;2329.88;288.30;288.30;;;;;;;;
7952;;;;;23M03W;;;;28;28;4158.21;4158.21;277.51;277.51;;;;;;;;
7953;;;;;23M04Z;;;;15;15;2238.73;2238.73;297.18;297.18;;;;;;;;
7954;;;;;23M05Z;;;;15;15;2124.86;2124.86;324.96;324.96;;;;;;;;
7955;;;;;23M06Z;;;;15;15;2247.15;2247.15;329.66;329.66;;;;;;;;
7956;;;;;23Z02Z;;;;35;35;6357.21;6357.21;289.23;289.23;;;;;;;;
7957;;;;;23Z02Z;;;;35;35;8900.09;8900.09;404.92;404.92;;;;;;;;
7958;;;;;23Z02Z;;;;35;35;8264.37;8264.37;376.00;376.00;;;;;;;;
8001;;;;;24C02Z;;;;;;1699.35;1699.35;;;;;;;;;;
8002;;;;;24C03Z;;;;;;1602.88;1602.88;;;;;;;;;;
8003;;;;;24C04Z;;;;;;948.05;948.05;;;;;;;;;;
8004;;;;;24C05Z;;;;;;842.75;842.75;;;;;;;;;;
8005;;;;;24C06Z;;;;;;682.26;682.26;;;;;;;;;;
8006;;;;;24C07Z;;;;;;1151.58;1151.58;;;;;;;;;;
8007;;;;;24C08Z;;;;;;971.74;971.74;;;;;;;;;;
8008;;;;;24C09Z;;;;;;1355.91;1355.91;;;;;;;;;;
8009;;;;;24C10Z;;;;;;1208.40;1208.40;;;;;;;;;;
8010;;;;;24C11Z;;;;;;1620.71;1620.71;;;;;;;;;;
8011;;;;;24C12Z;;;;;;849.80;849.80;;;;;;;;;;
8012;;;;;24C13Z;;;;;;1582.41;1582.41;;;;;;;;;;
8013;;;;;24C14Z;;;;;;1844.54;1844.54;;;;;;;;;;
8014;;;;;24C15Z;;;;;;1132.50;1132.50;;;;;;;;;;
8016;;;;;24C17Z;;;;;;1377.09;1377.09;;;;;;;;;;
8017;;;;;24C18Z;;;;;;1161.06;1161.06;;;;;;;;;;
8019;;;;;24C20Z;;;;;;1529.73;1529.73;;;;;;;;;;
8020;;;;;24C21Z;;;;;;1241.64;1241.64;;;;;;;;;;
8021;;;;;24C22Z;;;;;;1076.28;1076.28;;;;;;;;;;
8022;;;;;24C23Z;;;;;;1337.87;1337.87;;;;;;;;;;
8023;;;;;24C24Z;;;;;;892.74;892.74;;;;;;;;;;
8024;;;;;24C25Z;;;;;;1201.62;1201.62;;;;;;;;;;
8026;;;;;24C27Z;;;;;;791.98;791.98;;;;;;;;;;
8027;;;;;24C28Z;;;;;;827.51;827.51;;;;;;;;;;
8028;;;;;24C29Z;;;;;;1314.09;1314.09;;;;;;;;;;
8029;;;;;24C30Z;;;;;;645.00;645.00;;;;;;;;;;
8030;;;;;24C31Z;;;;;;988.78;988.78;;;;;;;;;;
8031;;;;;24C32Z;;;;;;938.36;938.36;;;;;;;;;;
8032;;;;;24C33Z;;;;;;955.35;955.35;;;;;;;;;;
8033;;;;;24C34Z;;;;;;900.58;900.58;;;;;;;;;;
8034;;;;;24C35Z;;;;;;1008.82;1008.82;;;;;;;;;;
8036;;;;;24C37Z;;;;;;1300.91;1300.91;;;;;;;;;;
8037;;;;;24C38Z;;;;;;1084.10;1084.10;;;;;;;;;;
8038;;;;;24C39Z;;;;;;1307.83;1307.83;;;;;;;;;;
8039;;;;;24C40Z;;;;;;1143.43;1143.43;;;;;;;;;;
8040;;;;;24C41Z;;;;;;1507.29;1507.29;;;;;;;;;;
8041;;;;;24C42Z;;;;;;1406.40;1406.40;;;;;;;;;;
8042;;;;;24C43Z;;;;;;967.26;967.26;;;;;;;;;;
8043;;;;;24C44Z;;;;;;820.02;820.02;;;;;;;;;;
8044;;;;;24C45Z;;;;;;959.26;959.26;;;;;;;;;;
