LPP_COD;VAL_DTD;LPP_TAR;LPP_PRU
3127333;08SEP2003:00:00:00;243.92;243.92
3127340;08SEP2003:00:00:00;152.45;152.45
3127400;07JUN2006:00:00:00;731.76;731.76
3127416;21MAY2005:00:00:00;198.18;198.18
3127445;27MAY2013:00:00:00;850.00;850.00
3127511;21MAY2005:00:00:00;262.82;262.82
3127630;19SEP2013:00:00:00;925.00;925.00
3127847;01NOV2013:00:00:00;210.22;210.22
3127899;14MAR2006:00:00:00;272.00;272.00
3127942;21MAY2005:00:00:00;1360.46;1360.46
3127988;01NOV2013:00:00:00;48.15;48.15
3127994;21MAY2005:00:00:00;278.98;278.98
3128054;08SEP2003:00:00:00;152.45;152.45
3128189;13NOV2013:00:00:00;489.52;489.52
3128226;21MAY2005:00:00:00;487.84;487.84
3128290;24SEP2007:00:00:00;374.11;374.11
3128309;21MAY2005:00:00:00;152.45;152.45
3128350;21MAY2005:00:00:00;823.22;823.22
3128373;28SEP2010:00:00:00;841.52;841.52
3128427;23JUL2007:00:00:00;240.00;240.00
3128433;17JUL2013:00:00:00;3183.53;3183.53
3128657;07JUN2006:00:00:00;336.61;336.61
3128723;28SEP2010:00:00:00;842.30;842.30
3128730;28MAR2007:00:00:00;117.00;117.00
3128812;20FEB2014:00:00:00;144.83;144.83
3128841;19SEP2013:00:00:00;925.00;925.00
3128976;21MAY2005:00:00:00;494.09;494.09
3129013;08SEP2003:00:00:00;152.45;152.45
3129059;18JUL2006:00:00:00;490.00;490.00
3129585;28MAR2007:00:00:00;490.00;490.00
3129680;08SEP2003:00:00:00;243.92;243.92
3129697;08SEP2003:00:00:00;503.08;503.08
3129881;17JUL2013:00:00:00;1003.03;1003.03
3129898;20FEB2014:00:00:00;144.83;144.83
3129935;08SEP2003:00:00:00;152.45;152.45
3130192;01SEP2012:00:00:00;925.00;925.00
3130312;19JUL2007:00:00:00;5268.00;5268.00
3130341;18JUL2006:00:00:00;412.00;412.00
3130453;21MAY2005:00:00:00;79.88;79.88
3130476;21MAY2005:00:00:00;1646.45;1646.45
3130648;21MAY2005:00:00:00;61.44;61.44
3130683;01NOV2013:00:00:00;287.28;287.28
3130855;08SEP2003:00:00:00;167.69;167.69
3130938;12DEC2011:00:00:00;735.88;735.88
3130950;21MAY2005:00:00:00;314.55;314.55
3131056;08SEP2003:00:00:00;243.92;243.92
3131079;21MAY2005:00:00:00;103.89;103.89
3131091;10MAY2007:00:00:00;629.31;629.31
3131599;08SEP2003:00:00:00;18.29;18.29
3131725;11DEC2007:00:00:00;3577.00;3577.00
3131760;21MAY2005:00:00:00;1600.71;1600.71
3131903;01NOV2013:00:00:00;1100.56;1100.56
3131949;07JUN2006:00:00:00;541.50;541.50
3131955;21MAY2005:00:00:00;69.06;69.06
3131961;23OCT2013:00:00:00;925.00;925.00
3131990;21MAY2005:00:00:00;490.89;490.89
3132140;08SEP2010:00:00:00;600.00;600.00
3132363;08SEP2003:00:00:00;221.05;221.05
3132370;23SEP2009:00:00:00;850.00;850.00
3132446;01NOV2013:00:00:00;365.89;365.89
3132475;09APR2007:00:00:00;1415.00;1415.00
3132593;19SEP2013:00:00:00;925.00;925.00
3132601;21MAY2005:00:00:00;320.14;320.14
3132802;21MAY2005:00:00:00;245.90;245.90
3132877;08SEP2003:00:00:00;152.45;152.45
3132890;08SEP2003:00:00:00;503.08;503.08
3132989;08SEP2010:00:00:00;1266.00;1266.00
3133026;21MAY2005:00:00:00;344.53;344.53
3133032;21MAY2005:00:00:00;190.26;190.26
3133180;24SEP2007:00:00:00;374.11;374.11
3133240;21MAY2005:00:00:00;181.41;181.41
3133262;13SEP2011:00:00:00;36.59;36.59
3133411;20NOV2003:00:00:00;213.43;213.43
3133434;22AUG2012:00:00:00;9414.82;9414.82
3133463;21MAY2005:00:00:00;182.94;182.94
3133486;01SEP2012:00:00:00;925.00;925.00
3133517;05JUL2011:00:00:00;489.52;489.52
3133523;19SEP2013:00:00:00;925.00;925.00
3133865;23OCT2013:00:00:00;925.00;925.00
3133902;01JAN2007:00:00:00;62.00;62.00
3133931;23OCT2013:00:00:00;925.00;925.00
3134110;04MAR2013:00:00:00;144.83;144.83
3134126;21MAY2005:00:00:00;213.43;213.43
3134362;06MAR2012:00:00:00;9668.00;9668.00
3134400;12DEC2011:00:00:00;184.44;184.44
3134416;28MAY2014:00:00:00;152.45;152.45
3134511;21MAY2005:00:00:00;205.81;205.81
3134540;21MAY2005:00:00:00;36.59;36.59
3134570;21MAY2005:00:00:00;117.08;117.08
3134592;20FEB2006:00:00:00;412.00;412.00
3134669;01SEP2012:00:00:00;925.00;925.00
3134675;17JUL2013:00:00:00;1003.03;1003.03
3134712;23OCT2013:00:00:00;925.00;925.00
