PHA_PRS_IDE;PHA_ATC_CLA;GRP_GRP_COD;TEC_COL
3085385;S01;;0
3085563;A12;;0
3085669;A09;;0
3085741;C01;;0
3086108;G03;;0
3086120;A03;;0
3086137;A03;;0
3086143;A03;;0
3086166;A03;;0
3086350;N01;;0
3086580;G03;;0
3086597;G03;;0
3086605;G03;;0
3086628;G03;;0
3087036;N07;;0
3088082;R05;;0
3088194;L01;;0
3088573;INC;;0
3088745;R05;;0
3088751;P01;;0
3088774;P01;;0
3088780;P01;;0
3088805;P01;;0
3088828;M09;;0
3089437;V08;;0
3089466;V08;;0
3089590;INC;;0
3090305;C05;;0
3090340;C05;;0
3090357;C05;;0
3090481;V06;;0
3090512;INC;;0
3090713;A06;;0
3090765;G03;;0
3090989;INC;;0
3091003;INC;;0
3091026;R01;;0
3091055;R01;;0
3091084;R01;;0
3091115;INC;;0
3091500;J04;;0
3091517;J04;;0
3091523;S01;;0
3091546;S01;;0
3091552;J04;;0
3091629;J04;;0
3091635;J04;;0
3091693;C01;;0
3092474;A05;;0
3092675;J07;;0
3093195;J01;Ant;0
3148200;W99;;0
3148217;W99;;0
3148223;W99;;0
3148246;W99;;0
3148252;W99;;0
3148269;W99;;0
3148275;W99;;0
3148281;W99;;0
3148298;W99;;0
3148306;W99;;0
3148312;W99;;0
3148329;W99;;0
3148335;W99;;0
3148341;W99;;0
3148358;W99;;0
3148364;W99;;0
3148370;W99;;0
3148387;W99;;0
3148393;W99;;0
3148401;W99;;0
3148418;W99;;0
3148424;W99;;0
3148447;W99;;0
3146023;W99;;0
3146046;W99;;0
3146052;W99;;0
3146081;W99;;0
3146098;W99;;0
3146106;W99;;0
3146135;W99;;0
3146141;W99;;0
3146158;W99;;0
3146187;W99;;0
3146193;W99;;0
3146201;W99;;0
3146230;W99;;0
3146247;W99;;0
3146253;W99;;0
3146282;W99;;0
3146307;W99;;0
3326989;J01;Ant;0
3327055;D01;;0
3327061;D06;;0
3327078;C04;;0
3327173;M01;;0
3327581;N02;;0
3327598;V08;;0
3327606;V08;;0
3327612;V08;;0
3327629;V08;;0
3327635;V08;;0
3327641;V08;;0
3327664;V08;;0
3327670;V08;;0
3327687;V08;;0
3327693;V08;;0
3327701;V08;;0
3327718;R05;;0
3327782;A12;;0
3327871;A07;;0
3327888;A07;;0
3327948;INC;;0
3327960;M01;;0
3328238;J01;Ant;0
3328241;J01;Ant;0
3328244;J01;Ant;0
3328250;V01;;0
3328267;V01;;0
3328304;V01;;0
3328385;H02;;0
3328391;A02;;0
3328416;S01;;0
3328422;S01;;0
3328439;G02;;0
3328451;G02;;0
3328534;C08;;0
3328540;C07;;0
3328586;M01;;0
3284529;A02;;0
3018006;R05;;0
3018012;R05;;0
3018029;R05;;0
3018176;INC;;0
3018638;INC;;0
3018779;N05;;0
3018839;C01;;0
3175467;INC;;0
3175579;C10;;0
3175616;N04;;0
3176099;N05;;0
3176136;C04;;0
3176142;J01;Ant;0
3176159;J01;Ant;0
3176277;D10;;0
3176461;B05;;0
3176478;B05;;0
3176484;B05;;0
3176679;B05;;0
3176685;B05;;0
3176716;N05;;0
3176969;C04;;0
3177549;S01;;0
3177555;A13;;0
3171618;M03;;0
3171699;C04;;0
3171831;B05;;0
3172032;N05;Psy;0
3172368;B01;;0
3172380;N05;Psy;0
3172457;INC;;0
3172463;N04;;0
3172954;C05;;0
3173014;J01;Ant;0
3173072;J01;Ant;0
3173184;INC;;0
3173362;N05;Psy;0
3173451;J01;Ant;0
3173468;J01;Ant;0
3173770;C04;;0
3173787;S01;;0
3173801;C02;;0
3173882;C01;;0
3173959;R05;;0
3174249;N05;;0
3106012;R05;;0
3106029;R01;;0
3106035;R05;;0
3106041;R05;;0
3106058;R05;;0
3106555;J01;Ant;0
3106762;N06;;0
3106779;N06;;0
3107193;D07;;0
3107201;R05;;0
3107224;D07;;0
3107419;J01;Ant;0
3107431;J01;Ant;0
3107454;J01;Ant;0
3107626;J01;Ant;0
3107690;N05;Psy;0
3107709;N05;Psy;0
3107750;P02;;0
3107796;R03;;0
3108301;C01;;0
3108608;C04;;0
3108672;C05;;0
3108689;C05;;0
3109068;B05;;0
3109111;B05;;0
3109341;V04;;0
3109476;R05;;0
3109536;R05;;0
3109654;R05;;0
3109660;R05;;0
3109677;R05;;0
3109683;R05;;0
3109849;D06;;0
3171050;B03;;0
3171363;A01;;0
3171423;J01;Ant;0
3171481;A04;;0
3171541;D04;;0
3171601;V08;;0
3259543;R05;;0
3259804;A05;;0
3259810;INC;;0
3259833;M04;;0
3259885;A07;;0
3234543;J01;Ant;0
3234566;J01;Ant;0
3234649;C03;;0
3234655;C01;;0
3234721;C02;;0
3234738;C02;;0
3234974;G01;;0
3235086;V03;;0
3235100;G03;;0
3235117;M01;;0
3235695;C07;;0
3235985;P02;;0
3236016;J01;Ant;0
3236128;B05;;0
3236163;J01;Ant;0
3236186;J01;Ant;0
3236200;J01;Ant;0
3236252;B06;;0
3236364;B05;;0
3236370;B05;;0
3236387;B05;;0
3236393;B05;;0
3236401;B05;;0
3236424;B05;;0
3236430;B05;;0
3236909;A12;;0
3236973;J01;Ant;0
3236996;J01;Ant;0
3237004;J01;Ant;0
3237027;J01;Ant;0
3237033;J01;Ant;0
3237079;J01;Ant;0
3237085;J01;Ant;0
3237116;J01;Ant;0
3237180;R05;;0
3237240;C05;;0
3237292;D10;;0
3237300;D10;;0
3237317;V08;;0
3237369;R05;;0
3237429;C03;;0
3237642;C10;;0
3237731;R05;;0
3237748;INC;;0
3238104;M01;;0
3238179;C08;;0
3238274;L01;;0
3238676;G03;;0
3238699;G03;;0
3238707;J04;;0
3238713;G01;;0
3238736;C07;;0
3238765;A01;;0
3238848;R05;;0
3238966;C05;;0
3239032;C01;;0
3239138;V08;;0
3239316;J01;Ant;0
3239322;J01;Ant;0
3239517;C02;;0
3239523;A12;;0
3239635;J01;Ant;0
3239658;A10;;0
3239664;A10;;0
3239670;A10;;0
3239687;A10;;0
3239701;A10;;0
3033721;S01;;0
3033738;S01;;0
3034301;C04;;0
3034844;A06;;0
3034867;A06;;0
3035016;C01;;0
3035022;C01;;0
3035105;B06;;0
3035157;N06;;0
3035163;N06;;0
3035625;N06;;0
3035660;A10;;0
3035677;A10;;0
3035737;A10;;0
3035795;A10;;0
3035803;A10;;0
3035890;L01;;0
3035909;L01;;0
3036116;A07;;0
3036317;INC;;0
3271099;M01;;0
3271136;A03;;0
3271219;D10;;0
3271231;D10;;0
3271254;D10;;0
3271509;R05;;0
3271515;R05;;0
3271521;R05;;0
3271662;A14;;0
3271691;C04;;0
3271739;C04;;0
3271780;R05;;0
3271797;V08;;0
3272012;A02;;0
3272064;J01;Ant;0
3272070;J01;Ant;0
3272087;J01;Ant;0
