VIC_PMP_COD;VIC_PMP_LIB;TEC_COL
8261;CONDUCTEURS DE MACHINES PREPARATION FIBRE;0
8262;CONDUCTEURS DE MACHINES MECANIQUES;0
8263;CONDUCTEURS DE MACHINESA PIQUER;0
8264;CONDUCTEURS DE MACHINES A BLANCHIR;0
8265;CONDUCTEURS DE MACHINES A PREPARER LES FOURRURES,LE CUIR;0
8266;CONDUCTEURS  MACHINES FABRICAT. DES CHAUSSURES ET ASSIMILES;0
8269;CONDUCTEURS DE MACHINES FAB. PROD. TEXTILES,FOUURURES,CUIRS;0
8271;CONDUCTEURS DE MACHINES PREPARATIONS VIANDES,POISSONS;0
8272;CONDUCTEURS DE MACHINES FABRICATION DES PRODUITS LAITIERS;0
8273;CONDUCTEURS DE MACHINES A MOUDRE CEREALES ,EPICES;0
8274;CONDUCTEURS DE MACHINES PROD. ARTIC. BOULANGERIE,PATISSERIE;0
8275;CONDUCTEURS DE MACHINES TRAITEMENT FRUITS,LEGUMES;0
8276;CONDUCTEURS DE MACHINES PRODUCTION DU SUCRE;0
8277;CONDUCTEURS DE MACHINES TRAITEMENT DU THE,CAFE ET DU CACAO;0
8278;CONDUCTEURS  MACHINES BRASSERIE FAB. VIN ET AUTRES BOISSONS;0
8279;CONDUCTEURS DE MACHINES POUR LA PRODUCTION DU TABAC;0
8281;MONTEURS EN CONSTRUCTION MECANIQUE;0
8282;MONTEURS EN APPAREILLAGE ELECTRIQUE;0
8283;MONTEURS D'APPAREILS ELECTRONIQUES;0
8284;ASSEMBLEURS ARTICLES METAL,CAOUTCHOUC,MATIERES PLASTIQUES;0
8285;ASSEMBLEURS ARTICLES EN BOIS ET EN MATIERES SIMILAIRES;0
8286;ASSEMBLEURS ARTICLES CARTON,TEXTILE,MATIERES SIMILAIRES;0
8290;AUTRES CONDUCTEURS DE MACHINES ET OUVRIERS DE L'ASSEMBLAGE;0
8311;CONDUCTEURS DE LOCOMOTIVES;0
8312;SERRE-FREINS AIGUILLEURS ET AGENTS DE MANOEUVRE;0
8321;CONDUCTEURS DE MOTOCYCLES;0
8322;CHAUFFEURS TAXI ET CONDUC. AUTOMOBILES ET DE CAMIONNETTES;0
8323;CONDUCTEURS D'AUTOBUS ET DE TRAMWAYS;0
8324;CONDUCTEURS DE POIDS LOURDS ET DE CAMIONS;0
8331;CONDUCTEURS DE MATERIELS MOTORISES AGRICOLES ET FORESTIERS;0
8332;CONDUCTEURS D'ENGINS DE TERRASSEMENT, MATERIELS SIMILAIRES;0
8333;CONDUCTEURS DE GRUES D'ENGINS DE LEVAGE DIVERS;0
8334;CONDUCTEURS DE CHARIOTS ELEVATEURS;0
8340;MATELOTS DE PONT ET ASSIMILES;0
9111;VENDEURS AMBULANTS DE COMESTIBLES;0
9112;VENDEURS AMBULANTS DE PRODUITS DIVERS NON ALIMENTAIRES;0
9113;VENDEURS DE PORTE EN PORTE ET VENDEURS AU TELEPHONE;0
9120;CIREURS DE CHAUSSURES,AUTRES PETITS METIERS DES RUES;0
9131;AIDES DE MENAGE ET NETTOYEURS DOMESTIQUES;0
9132;AIDES ET NETTOYEURS BUREAUX,HOTELS ET AUTRES ETABLISSEMENT;0
9133;LAVEURS ET REPASSEURS DE LINGE;0
9141;PERSONNEL DU SERVICE D'IMMEUBLE;0
9142;LAVEURS DE VEHICULES DE VITRES ET ASSIMILES;0
9151;MESSAGERS PORTEURS DE COLIS OU DE BAGAGES LIVREURS;0
9152;PORTIERS GARDIENS ET ASSIMILES;0
9153;ENCAISSEURS DISTRIB. AUTOMATIQUES OUR PAIEMENT;0
9161;EBOUEURS;0
9162;BALAYEURS ET MANOEUVRES ASSIMILES;0
9211;AIDES ET MANOEUVRES AGRICOLES;0
9212;MANOEUVRES FORESTIERS;0
9213;MANOEUVRES PECHEURS CHASSEURS ET TRAPPEURS;0
9311;MANOEUVRES DES MINES ET DES CARRIERES;0
9312;MANOEUVRES CHANTIER TRAVAUX PUBLICS ET D'ENTRETIEN;0
9313;MANOEUVRES DU BATIMENT;0
9321;MANOEUVRES DE L'ASSEMBLAGE;0
9322;EMBALLEURS;0
9331;CONDUCTEURS DE VEHICULES A BRAS OU PEDALES;0
5139;PERSONNEL SOIGNANT ET ASSIMILE NON CLASSE AILLEURS;0
5141;COIFFEURS SPECIALISTES DES SOINS DE BEAUTE;0
5142;PERSONNEL DE COMPAGNIE ET VALETS DE CHAMBRE;0
5143;AGENTS DE POMPES FUNEBRE ET EMBAUMEURS;0
5149;AUTRE PERSONNEL DES SERVICES DIRECTS AUX PARTICULIERS;0
5151;ASTROLOGUES ET ASSIMILES;0
5152;DISEURS DE BONNE AVENTURE CHIROMANCIENS ET ASSIMILES;0
5161;POMPIERS;0
5162;AGENTS DE POLICE;0
5163;GARDIENS DE PRISON;0
5169;PERSONNEL SERVICES PROTECTION ET SECURITE;0
5210;MANNEQUINS ET AUTRES MODELES;0
5220;VENDEURS ET DEMONSTRATEURS EN MAGASIN;0
5230;VENDEURS;0
6111;AGRICULTEURS ET OUVRIERS QUALIFIES CULTURES CHAMPS;0
6112;ARBORICULTEURS  OUVRIERS QUALIFIES DE L'ARBORICULTURE;0
6113;AGRICULTEURS ET OUVRIERS QUALIFIES DE L'HORTICULTURE;0
6114;AGRICULTEURS ET OUVRIERS QUALIFIES DES CULTURES MIXTES;0
6121;ELEVEURS ET OUVRIERS QUALIFIES DE L'ELEVAGE DE BETAIL;0
6122;AVICULTEURS ET OUVRIERS QUALIFIES DE L'AVICULTURE;0
6123;APICULTEURS SERICICULTEURS ET OUVRIERS APICULTURE;0
6124;ELEVEURS;0
6129;ELEVEURS ET OUVRIERS QUALIFIES ELEVAGE;0
6130;AGRICULTEURS ET OUVRIERS QUALIFIESE POLYCULTURE;0
6141;EXPLOITANTS ET OUVRIERS FORESTIERS;0
6142;CHARBONNIERS CHARBON DE BOIS ET OUVRIERS ASSIMILES;0
6151;AQUACULTEURS ET OUVRIERS DE L'AQUACULTURE;0
6152;PECHEURS PECHE COTIERE ET EN EAUX INTERIEURES;0
6153;PECHEURS DE LA PECHE EN HAUTE MER;0
6154;CHASSEURS ET TRAPPEURS;0
6210;AGRICULTEURS,OUVRIERS AGRICULTURE, DE LA PECHE DE SUBSIST;0
7111;MINEURS ET CARRIERS;0
7112;BOUTEFEUX;0
7113;FENDEURS ET TAILLEURS DE PIERRE;0
7121;CONSTRUCTEURS TECHNIQUES ET MATERIAUX TRADITIONNELS;0
7122;MACONS;0
7123;CONSTRUCTEURS EN BETON ARME MACONS RAGREEURS ET ASSIMILES;0
7124;CHARPENTIERS EN BOIS ET MENUISIERS DU BATIMENT;0
7129;OUVRIERS BATIMENT (GROS OEUVRE) ET ASSIMILES;0
7131;COUVREURS ET ZINGUEURS;0
7132;POSEURS DE REVETEMENT DE SOL ET CARRELEURS;0
7133;PLATRIERS;0
7134;MONTEURS EN ISOLATION THERMIQUE ET ACOUSTIQUE;0
7135;VITRIERS;0
7136;PLOMBIERS ET TUYAUTEURS;0
7137;ELECTRICIENS DU BATIMENT ET ASSIMILES;0
7141;PEINTRES EN BATIMENT ET POSEURS DE PAPIERS PEINTS;0
7142;LAQUEURS VERNISSEURS ET ASSIMILES;0
7143;RAVALEURS DE FACADES ET RAMONEURS;0
7211;MOULEURS ET NOYAUTEURS DE FONDERIE;0
7212;SOUDEURS ET OXYCOUPEURS;0
7213;TOLIERS CHAUDRONNIERS;0
7214;CHARPENTIERS METALLIERS,MONTEURS DE CHARPENTES METALLIQUES;0
7215;GREEURS ET EPISSEURS DE CABLES;0
7216;SCAPHANDRIERS ET HOMMES GRENOUILLES;0
7221;FORGERONS ESTAMPEURS ET CONDUCTEURS DE PRESSES;0
7222;OUTILLEURS ET ASSIMILES;0
7223;REGLEURS ET REGLEURS-CONDUCTEURS DE MACHINES-OUTILS;0
7224;MEULEURS POLISSEURS ET AFFUTEURS;0
7231;MECANICIENS ET AJUSTEURS DE VEHICULES;0
7232;MECANICIENS ET AJUSTEURS DE MOTEURS D'AVION;0
7233;MECANICIENS ET AJUSTEURS DE MACHINES AGRICOLES;0
7241;MECANICIENS ET AJUSTEURS D'APPAREILS ELECTRIQUES;0
7242;AJUSTEURS D'APPAREILS ELECTRONIQUES;0
7243;MECANICIENS ET REPARATEURS D'APPAREILS ELECTRONIQUES;0
7244;MONTEURS ET REPARATEURS D'INSTALLATIONS TELEGRAPHIQUES;0
7245;MONTEURS ET REPARATEURS DE LIGNES ELECTRIQUES;0
7311;MECANICIENS REPARATEURS D'INSTRUMENTS DE PRECISION;0
7312;FACTEURS ET ACCORDEURS D'INSTRUMENTS DE MUSIQUE;0
7313;JOAILLIERS ET ORFEVRES;0
7321;POTIERS ET ASSIMILES (PRODUITS CERAMIQUES ET ABRASIFS);0
7322;SOUFFLEURS MOULEURS TAILLEURS MEULEURS,POLISSEURS VERRE;0
7323;GRAVEURS SUR VERRE;0
7324;PEINTRES DECORATEURS SUR VERRE ET CERAMIQUE;0
7331;OUVRIERS DES METIERS D'ARTISANAT SUR BOIS;0
7332;OUVRIERS DES METIERS D'ARTISANAT TEXTILE SUR CUIR;0
7341;COMPOSITEURS TYPOGRAPHES ET ASSIMILES;0
7342;STEREOTYPEURS ET CLICHEURS GALVANOPLASTES;0
7343;GRAVEURS D'IMPRIMERIE ET PHOTOGRAVEURS;0
7344;PERSONNEL DE LA PHOTOGRAPHIE ET ASSIMILES;0
7345;RELIEURS ET ASSIMILES;0
7346;IMPRIMEURS SERIGRAPHES;0
7411;BOUCHERS POISSONIERS ET ASSIMILES;0
7412;BOULANGERS PATISSIERS ET CONFISEURS;0
7413;OUVRIERS DE LA FABRICATION DES PRODUITS LAITIERS;0
7414;OUVRIERS DE LA CONSERVERIE DE FRUITS DE LEGUMES;0
7415;DEGUSTATEURS,CLASSEURS DE DENREES ALIMENTAIRES, BOISSONS;0
7416;OUVRIERS PREPA.TABAC,ET,FABRICATION PRODUIT DU TABAC;0
7421;OUVRIERS DU TRAITEMENT DU BOIS;0
7422;EBENISTES MENUISIERS ET ASSIMILES;0
7423;REGLEURS ET REGLEURS-CONDUCTEURS DE MACHINES;0
7424;VANNIERS BROSSIERS ET ASSIMILES;0
7431;PREPARATEURS DE FIBRES;0
7432;TISSERANDS TRICOTEURS ET ASSIMILES;0
7433;TAILLEURS COUTURIERS CHAPELIERS ET MODISTES;0
7434;FOURREURS ET ASSIMILES;0
7435;PATRONNIERS ET COUPEURS DU TEXTILE DU CUIR;0
3121;ASSISTANTS INFORMATICIENS;0
3122;TECHNICIENS DE MATERIELS INFORMATIQUES;0
3123;TECHNICIENS DE ROBOTS INDUSTRIELS;0
3131;PHOTOGRAPHES ET TECHNICIENS D'APPAREILS ENREGISTREURS;0
3132;TECHNICIENS DE MATERIELS D'EMISSIONS DE RADIO DE TELEVIS;0
3133;TECHNICIENS D'APPAREILS ELECTROMEDICAUX;0
3139;TECHNICIENS D'APPAREILS D'OPTIQUE ET D'ELECTRONIQUE;0
3141;OFFICIERS MECANICIENS DE NAVIRES;0
3142;OFFICIERS DE PONT ET PILOTES;0
3143;PILOTES D'AVIONS ET ASSIMILES;0
3144;CONTROLEURS DE LA CIRCULATION AERIENNE;0
3145;TECHNICIENS DE LA SECURITE AERIENNE;0
3151;INSPECTEURS DE SECURITE INCENDIE ET D'IMMEUBLES;0
3152;INSPECTEURS SECURITE ET HYGIENE ET CONTROLEURS DE QUALITE;0
3211;TECHNICIENS DES SCIENCES DE LA VIE;0
3212;TECHNICIENS AGRONOMES ET FORESTIERS;0
3213;CONSEILLERS AGRICOLES ET FORESTIERS;0
3221;ASSISTANTS MEDICAUX;0
3222;HYGIENISTE;0
3223;DIETETICIENS ET SPECIALISTES DE LA NUTRITION;0
3224;OPTOMETRICIENS ET OPTICIENS;0
3225;ASSISTANTS DE MEDECINE DENTAIRE;0
3226;KINESITHERAPEUTES ET ASSIMILES;0
3227;ASSISTANTS VETERINAIRES;0
3228;ASSISTANTS ET PREPARATEURS EN PHARMACIE;0
3229;PROFESSIONS INTERMEDIAIRES DE LA MEDECINE MODERNE;0
3231;PERSONNEL INFIRMIER (NIVEAU INTERMEDIAIRE);0
3232;SAGES-FEMMES (NIVEAU INTERMEDIAIRE);0
3241;PRATICIENS DE LA MEDECINE TRADITIONNELLE;0
3242;GUERISSEURS;0
3310;PROFESSIONS INTERMEDIAIRES DE L'ENSEIGNEMENT PRIMAIRE;0
3320;PROFESSIONS INTERMEDIAIRES DE L'ENSEIGNEMENT PREPRIMAIRE;0
3330;PROFESSIONS INTERMEDIAIRES DE L'EDUCATION DES HANDICAPES;0
3340;AUTRES PROFESSIONS INTERMEDIAIRES DE L'ENSEIGNEMENT;0
3411;COURTIERS EN VALEURS ET CAMBISTES;0
3412;AGENTS D'ASSURANCE;0
3413;AGENTS IMMOBILIERS;0
3414;AGENTS DE VOYAGES;0
3415;AGENTS COMMERCIAUX ET AGENTS COMMERCIAUX TECHNICIENS;0
3416;ACHETEURS;0
3417;ESTIMATEURS EXPERTS EN EVALUATION ET VENDEURS ENCHERES;0
3419;PROFESSIONS INTERMEDIAIRES DES FINANCES ET VENTE;0
3420;AGENTS COMMERCIAUX ET COURTIERS;0
3421;COURTIERS EN MARCHANDISES;0
3422;AGENTS CONCESSIONNAIRES;0
3423;AGENTS D'ETABLISSEMENT DE CONTRATS D'EMPLOI;0
3429;AGENTS COMMERCIAUX ET COURTIERS NON CLASSES AILLEURS;0
3431;SECRETAIRES D'ADMINISTRATION ET PROF. INTERMEDIAIRES;0
3432;PROFESSIONS JURIDIQUES INTERMEDIAIRES;0
3433;COMPTABLES;0
3434;PROFESSIONS INTERMEDIAIRES DE LA STATISTIQUE MATHEMAT.;0
3439;PROFESSIONS INTERMEDIAIRES DE LA GESTION ADMINISTRATIVE;0
3441;INSPECTEURS DES DOUANES ET DES FRONTIERES;0
3442;CONTROLEURS DES IMPOTS;0
3443;AGENTS DES SERVICES PUBLICS ACCORDANT DES PREST. SOCIAL.;0
3444;AGENTS SERVICES PUBLICS ACCORDANT DES PERMIS,LICENCES;0
3449;PROFESSIONS INTERMEDIAIRES DE L'ADMINIST. PUBLIQ. DOUANE;0
3450;INSPECTEURS DE LA POLICE JUDICIAIRE ET DETECTIVES;0
3460;PROFESSIONS INTERMEDIAIRES DU TRAVAIL SOCIAL;0
3471;DECORATEURS ET DESSINATEURS MODELISTES  PRODUITS INDUST.;0
3472;ANNONCEURS PRESENTATEURS RADIO ,TELEVISION ,SPECTACLES;0
3473;MUSICIENS CHANTEURS,DANSEURS DE RUE DE BOITE DE NUIT;0
3474;CLOWN MAGICIENS ACROBATES ET ASSIMILES;0
3475;ATHLETES SPORTIFS ET ASSIMILES;0
3480;ASSISTANTS LAICS DES CULTES;0
4111;STENOGRAPHES ET DACTYLOGRAPHES;0
4112;OPERATEURS DE TRAITEMENT DE TEXTE ET ASSIMILES;0
4113;OPERATEURS DE SAISIE DE DONNEES;0
4114;OPERATEURS SUR MACHINES;0
4115;SECRETAIRES;0
4121;TENEURS DE LIVRES;0
4122;EMPLOYES DE SERVICE STATISTIQUE OU FINANCIER;0
4131;EMPLOYES DU SERVICE DES STOCKS;0
4132;EMPLOYES DU SERVICE D'ORDONNANCEMENT DE LA PRODUCTION;0
4133;EMPLOYES DU SERVICE DES TRANSPORTS;0
4141;EMPLOYES DE BIBLIOTHEQUE ET CLASSEURS ARCHIVISTES;0
4142;EMPLOYES DE SERVICE DU COURRIER;0
4143;CODEURS CORRECTEURS D'.PREUVES ET ASSIMILES;0
4144;ECRIVAINS PUBLICS ET ASSIMILES;0
4190;AUTRES EMPLOYES DE BUREAU;0
4211;CAISSIERS ET BILLETTISTES;0
4212;GUICHETIERS DE BANQUE ET AUTRES GUICHETIERS;0
4213;CROUPIERS ET ASSIMILES;0
4214;PRETEURS SUR GAGES ET BAILLEURS DE FONDS;0
4215;ENCAISSEURS ET ASSIMILES;0
4221;EMPLOYES D'AGENCE DE VOYAGES;0
4222;RECEPTIONNISTES ET EMPLOYES D'INFORMATION;0
4223;TELEPHONISTES STANDARDISTES;0
5111;AGENTS D'ACCUEIL DE VOYAGE ET STEWARDS;0
5112;CONTROLEURS ET RECEVEURS DE TRANSPORTS PUBLICS;0
5113;GUIDES;0
5121;ECONOMES (COLLECTIVITES) INTENDANTS ET GOUVERNANTES;0
5122;CUISINIERS;0
5123;SERVEURS ET BARMEN;0
5131;GARDES D'ENFANTS;0
5132;AIDES SOIGNANTS EN INSTITUTION;0
5133;AIDES SOIGNANTS;0
0110;FORCES ARMEES;0
1110;MEMBRES DE L'EXECUTIF ET DES CORPS LEGISLATIFS;0
1120;CADRES SUPERIEURES DE L'ADMINISTRATION PUBLIQUE;0
1130;CHEFS TRADITIONNELS ET CHEFS DE VILLAGE;0
1141;DIRIGEANTS ET CADRES SUPERIEURS DE PARTIS POLITIQUES;0
1142;DIRIGEANTS ET CADRES SUPERIEURS D'ORGAN. D'EMPLOYEURS;0
1143;DIRIGEANTS ET CADRES SUPERIEURS D'ORGAN. HUMANITAIRE;0
1210;DIRECTEURS;0
1221;CADRES DE DIRECTION AGRICULTURE CHASSE SYLVICULTURE;0
1222;CADRES DE DIRECTION INDUSTRIES MANUFACTURIERES;0
1223;CADRES DE DIRECTION BATIMENT ET TRAVAUX PUBLICS;0
1224;CADRES DE DIRECTION COMMERCE DE GROS ET DE DETAIL;0
1225;CADRES DE DIRECTION RESTAURATION ET HOTELLERIE;0
1226;CADRES DE DIRECTION TRANSPORTS ENTREPOSAGE ET COMMUNICATION;0
1227;CADRES DE DIRECTION ENTREPRISES D'INTERMEDIATION;0
1228;CADRES DE DIRECTION SERVICES DE SOINS PERSO. NETTOYAGE;0
1229;CADRES DE DIRECTION NON CLASSES AILLEURS;0
1231;CADRE DE DIRECTION SERVICES ADMINISTRATIFS ET FINANCIERS;0
1232;CADRE DE DIRECTION PERSONNEL ET RELATIONS PROFESSIONNEL.;0
1233;CADRE DE DIRECTION VENTES ET COMMERCIALISATION;0
1234;CADRE DE DIRECTION PUBLICITE ET RELATIONS PUBLIQUES;0
1235;CADRE DE DIRECTION ACHATS ET DISTRIBUTION;0
1236;CADRE DE DIRECTION SERVICES INFORMATIQUES;0
1237;CADRE DE DIRECTION RECHERCHE DEVELOPPEMENT;0
1311;DIRIGEANTS ET GERANTS AGRICULTURE CHASSE SYLVICULTURE;0
1312;DIRIGEANTS ET GERANTS DANS INDUSTRIES MANUFACTURIERES;0
1313;DIRIGEANTS ET GERANTS DANS LE BATIMENT ET LES T.P.;0
1314;DIRIGEANTS ET GERANTS DANS LE COMMERCE DE GROS ET DETAIL;0
1315;DIRIGEANTS ET GERANTS DANS LA RESTAURATION,HOTELLERIE;0
1316;DIRIGEANTS ET GERANTS DANS LES TRANSPORTS,COMMUNICATION;0
1317;DIRIGEANTS ET GERANTS D'ENTREPRISES D'INTERMEDIATION;0
1318;DIRIGEANTS ET GERANTS DE SERVICES DE SOINS PERSONNELS;0
1319;DIRIGEANTS ET GERANTS NON CLASSES AILLEURS;0
2111;PHYSICIENS ET ASTRONOMES;0
2112;METEOROLOGUES;0
2113;CHIMISTES;0
2114;GEOLOGUES ET GEOPHYSICIENS;0
2121;MATHEMATICIENS ET ASSIMILES;0
2122;STATISTICIENS;0
2131;CONCEPTEURS ET ANALYSTES DE SYSTEMES INFORMATIQUES;0
2132;PROGRAMMEURS;0
2139;SPECIALISTES DE L'INFORMATIQUE NON CLASSES AILLEURS;0
2141;ARCHITECTES URBANISTES ET INGENIEURS DE LA CIRCULATION;0
2142;INGENIEURS CIVILS;0
2143;INGENIEURS ELECTRICIENS;0
2144;INGENIEURS ELECTRONICIENS ET DES TELECOMMUNICATIONS;0
2145;INGENIEURS MECANICIENS;0
2146;INGENIEURS CHIMISTES;0
2147;INGENIEURS DES MINES INGENIEURS METALLURGISTES;0
2148;CARTOGRAPHES ET GEOMETRES;0
2149;ARCHITECTES INGENIEURS ET ASSIMILES NON CLASSES AILLEURS;0
2211;BIOLOGISTES BOTANISTES ZOOLOGISTES ET ASSIMILES;0
2212;PHARMACOLOGISTES PATHOLOGISTES ET ASSIMILES;0
2213;AGRONOMES ET ASSIMILES;0
2221;MEDECINS;0
2222;DENTISTES;0
2223;VETERINAIRES;0
2224;PHARMACIENS;0
2229;MEDECINS ET ASSIMILES (SAUF CADRES INFIRMIERS) N.C.A;0
2230;CADRES INFIRMIERS ET SAGES-FEMMES;0
2310;PROFESSEURS UNIVERSITE ET ETS ENSEIGNEMENT SUPERIEUR;0
2320;PROFESSEURS DE L ENSEIGNEMENT SECONDAIRE;0
2331;INSTITUTEURS DE L ENSEIGNEMENT PRIMAIRE;0
2332;INSTITUTEURS DE L ENSEIGNEMENT PREPRIMAIRE;0
2340;ENSEIGNANTS SPECIALISES DANS L EDUCATION DES HANDICAPES;0
2351;SPECIALISTES DES METHODES D'ENSEIGNEMENT;0
2352;INSPECTEURS DE L'ENSEIGNEMENT;0
2359;AUTRES SPECIALISTES DE L'ENSEIGNEMENT;0
2411;CADRES COMPTABLES;0
2412;SPECIALISTES DES PROBLEMES DE PERSONNEL DEVELO. CORRESP.;0
2419;SPECIALISTES DES FONCTIONS ADMINISTRATIVES ET COMMERCIA.;0
2421;AVOCATS;0
2422;MAGISTRATS;0
2429;AUTRES JURISTES NON CLASSES AILLEURS;0
2431;ARCHIVISTES PALEOGRAPHES ET CONSERVATEURS DE MUSEE;0
2432;BIBLIOTHECAIRES DOCUMENTALISTES ET ASSIMILES;0
2441;ECONOMISTES;0
2442;SOCIOLOGUES ANTHROPOLOGUES ET ASSIMILES;0
2443;PHILOSOPHES HISTORIENS ET SPECIAL. SCIENCES POLITIQUES;0
2444;LINGUISTES TRADUCTEURS ET INTERPRETES;0
2445;PSYCHOLOGUES;0
2446;SPECIALISTES DU TRAVAIL SOCIAL;0
2451;AUTEURS JOURNALISTES ET AUTRES ECRIVAINS;0
2452;SCULPTEURS PEINTRES ET ASSIMILES;0
2453;COMPOSITEURS MUSICIENS ET CHANTEURS;0
2454;CHOREGRAPHES ET DANSEURS;0
2455;ACTEURS ET METTEURS EN SCENE DE CINEMA DE THEATRE;0
2460;MEMBRES DU CLERGE;0
3111;TECHNICIENS DES SCIENCES CHIMIQUES ET PHYSIQUES;0
3112;TECHNICIENS DU GENIE CIVIL;0
3113;TECHNICIENS EN ELECTRICITE;0
3114;TECHNICIENS EN ELECTRONIQUE ET EN TELECOMMUNICATIONS;0
3115;TECHNICIENS EN CONSTRUCTION MECANIQUE;0
3116;TECHNICIENS EN CHIMIE INDUSTRIELLE;0
3117;TECHNICIENS DES MINES TECHNICIENS METALLURGISTES;0
3118;DESSINATEURS INDUSTRIELS;0
3119;TECHNICIENS DES SCIENCES PHYSIQUES ET TECHNIQUES;0
9332;CONDUCTEURS DE VEHICULES ET DE MACHINES TRACTION ANIMALE;0
9333;MANUTENTIONNAIRES;0
9800;ELEVES, STAGIAIRES;0
9999;REPRISE;0
0000;Non Précisé;0
