SEE_RSQ_NUM;SEE_BUR_NUM;SEE_CTN_NUM;ATV_COD_STR;SEE_RSQ_LIB;GRT_ACT_NUM;CTN_COD_FIN;GFI_COD_FIN;CTN_COD_CAL;GFC_NUM_CAL;TOP_TAR_IND;RSQ_BUR_IND;RSQ_BEN_IND;RSQ_DOC_IND;TAU_ECR_RDO;RSQ_CGL_IND;RSQ_ETT_IND;RSQ_SAL_IND;RSQ_EFF_IND;RSQ_HRE_IND;RSQ_COT_IND;RSQ_EFF_NGL;RSQ_BAT_IND;RSQ_EXC_IND;TEC_COL
911AC;N;II;X;Ordres, syndicats et organisations professionnels d'employeurs et de non-salariés;07;II;014;II;014;*;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
911AD;B;ZZ;X;;00;ZZ;000;ZZ;000;*;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
911AD;N;II;X;Organisations économiques;07;II;014;II;014;*;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
911AE;B;ZZ;X;;0;ZZ;0;ZZ;0;*;0;0;0;0;1;0;1;0;0;0;1;0;1;0
911AE;N;CC;X;Caisses de congés payés des spectacles (en ce qui concerne les indemnités versées par ces organismes);0;CC;53;CC;53;*;0;0;0;0;1;0;1;0;0;0;1;0;1;0
911AF;B;ZZ;X;;00;ZZ;000;ZZ;000;*;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
911AF;N;II;X;Ordres. Syndicats et Organisations professionnelles, économiques, religieuses, philosophiques, politiques;07;II;014;II;014;*;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
912ZA;B;ZZ;X;;00;ZZ;000;ZZ;000;*;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
912ZA;N;II;X;Syndicats de salariés;07;II;014;II;014;*;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
913AA;B;ZZ;X;;00;ZZ;000;ZZ;000;*;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
913AA;N;II;X;Organisations religieuses, philosophiques et politiques;07;II;014;II;014;*;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
913EA;B;ZZ;X;;0;ZZ;0;ZZ;0;*;1;0;0;0;0;0;1;1;1;0;0;0;1;0
913EA;N;CC;X;Associations culturelles et socio-éducatives ne gérant pas d'équipements;7;CC;51;CC;51;*;1;0;0;0;0;0;1;1;1;0;0;0;1;0
913EB;B;ZZ;X;;00;ZZ;000;ZZ;000;*;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
913EB;N;II;X;Autres services fournis à la collectivité;07;II;016;II;016;*;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
913EC;B;ZZ;X;;0;ZZ;0;ZZ;0;*;0;1;0;0;1;0;0;1;0;1;1;0;1;0
913EC;N;ZZ;X;Personnes benevoles visees aux art D412-79 (sf celles visees au N 91-3ED) D412-82 et D412-95 du code SS;0;ZZ;0;ZZ;0;*;0;1;0;0;1;0;0;1;0;1;1;0;1;0
913ED;B;ZZ;X;;0;ZZ;0;ZZ;0;*;0;1;0;0;1;0;0;1;0;1;1;0;1;0
913ED;N;ZZ;X;Personnes benevoles visees a l'art D412-79  II G 2 , II K 2  et IV A 1 ,2 ,3  et 4 du code SS;0;ZZ;0;ZZ;0;*;0;1;0;0;1;0;0;1;0;1;1;0;1;0
913EE;B;ZZ;;;0;ZZ;0;ZZ;0;*;0;1;0;0;1;0;0;1;0;1;1;0;1;0
913EE;N;ZZ;;Personnes benevoles visees a l art L743.2 travaux administratifs;0;ZZ;0;ZZ;0;*;0;1;0;0;1;0;0;1;0;1;1;0;1;0
913EF;B;ZZ;;;0;ZZ;0;ZZ;0;*;0;1;0;0;1;0;0;1;0;1;1;0;1;0
913EF;N;ZZ;;Personnes benevoles visees a l art L743.2 travaux autres qu administratifs;0;ZZ;0;ZZ;0;*;0;1;0;0;1;0;0;1;0;1;1;0;1;0
913EG;B;ZZ;;;0;ZZ;0;ZZ;0;*;0;1;0;0;1;0;0;1;0;1;1;0;1;0
913EG;N;ZZ;;Personnes benevoles visees a l'art L743.2 participant qu'a reunions;0;ZZ;0;ZZ;0;*;0;1;0;0;1;0;0;1;0;1;1;0;1;0
913EH;B;ZZ;X;;0;ZZ;0;ZZ;0;*;1;0;0;0;0;0;1;1;1;0;0;0;0;0
913EH;N;II;X;Ordres. Syndicats et organisations professionnelles, économiques, religieuses, philosophiques, politiques. Autres services fournis à la collectivité.;7;II;16;II;16;*;1;0;0;0;0;0;1;1;1;0;0;0;0;0
913EI;B;ZZ;X;;0;ZZ;0;ZZ;0;*;1;0;0;0;0;0;1;1;1;0;0;0;0;0
913EI;N;II;X;Activités des organisations consulaires et patronales, des organisations professionnelles, des syndicats de salariés, des organisations religieuses, des;7;II;16;II;16;*;1;0;0;0;0;0;1;1;1;0;0;0;0;0
921CA;B;ZZ;X;;00;ZZ;000;ZZ;000;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
921CA;N;CC;X;Production de films (sauf les artistes);11;CC;032;CC;032;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
921CB;B;ZZ;X;;00;ZZ;000;ZZ;000;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
921CB;N;CC;X;Production de films, studios de cinéma (sauf les artistes)   Production de programmes de télévision;11;CC;032;CC;032;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
921CC;B;ZZ;X;;0;ZZ;0;ZZ;0;;1;0;0;0;0;0;1;1;1;0;0;0;0;0
921CC;N;CC;X;Production de films et de programmes pour le cinéma, la télévision, la radiodiffusion, etc ...Enregistrement sonore et édition musicale. Distribution et project;11;CC;32;CC;32;;1;0;0;0;0;0;1;1;1;0;0;0;0;0
921DA;B;ZZ;X;;00;ZZ;000;ZZ;000;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
921DA;N;CC;X;Entreprises de travaux à façon de cinéma : développement et tirage de films;11;CC;039;CC;039;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
