GHS_NUM;GHM_NUM;GHS_SEU_BAS;GHS_SEU_HAU;GHS_PRI;EXH_PRI;EHB_FOR;EHB_PRI;GHS_COE_MED;GHS_COE_DMI
3524;09M03T;0;0;543.74;0.00;0.00;0.00;0.03140;0.00018
3525;09M041;0;8;1847.86;154.19;0.00;0.00;0.00100;0.00017
3526;09M042;0;13;2947.96;117.63;0.00;0.00;0.00087;0.00017
3527;09M043;0;22;4006.56;330.02;0.00;0.00;0.00087;0.00017
3528;09M044;0;0;5811.25;0.00;0.00;0.00;0.00087;0.00017
3529;09M04T;0;0;727.52;0.00;0.00;0.00;0.00074;0.00031
3530;09M051;0;10;1680.94;129.36;0.00;0.00;0.00236;0.00029
3531;09M052;0;21;3103.89;140.95;0.00;0.00;0.00618;0.00589
3532;09M053;5;30;4372.40;188.46;1268.51;0.00;0.00433;0.00125
3533;09M054;0;41;6445.44;290.99;0.00;0.00;0.00583;0.00077
3534;09M05T;0;0;553.50;0.00;0.00;0.00;0.00699;0.00030
3535;09M061;4;17;3001.68;124.15;0.00;652.52;0.00738;0.00312
3536;09M062;4;34;5208.94;119.94;2207.26;0.00;0.00117;0.00211
3537;09M063;5;43;6436.75;109.35;1227.81;0.00;0.00115;0.00055
3538;09M064;10;57;7967.65;259.02;1530.90;0.00;0.00666;0.00163
3539;09M06T;0;0;391.60;0.00;0.00;0.00;0.00343;0.00003
3540;09M071;0;5;1087.55;123.65;0.00;0.00;0.01370;0.00083
3541;09M072;0;18;2975.78;113.26;0.00;0.00;0.00587;0.00053
3542;09M073;0;28;4159.84;110.23;0.00;0.00;0.01089;0.00067
3543;09M074;8;45;6033.66;250.18;1873.82;0.00;0.03803;0.00351
3544;09M07T;0;0;530.65;0.00;0.00;0.00;0.01781;0.00019
3545;09M081;0;10;1957.21;109.86;0.00;0.00;0.01897;0.00043
3546;09M082;0;22;3695.79;98.50;0.00;0.00;0.01214;0.00071
3547;09M083;6;32;5060.86;84.43;1365.07;0.00;0.00788;0.00092
3548;09M084;7;59;7340.39;229.83;2279.53;0.00;0.01676;0.00039
3549;09M08T;0;0;485.74;0.00;0.00;0.00;0.33502;0.00029
3550;09M091;0;8;1722.98;137.89;0.00;0.00;0.02163;0.00296
3551;09M092;0;17;2963.97;189.84;0.00;0.00;0.00081;0.00006
3552;09M093;0;23;4103.01;323.16;0.00;0.00;0.00217;0.00014
3553;09M094;0;0;6725.53;0.00;0.00;0.00;0.00217;0.00014
3554;09M09T;0;0;590.36;0.00;0.00;0.00;0.00326;0.00013
3555;09M101;0;8;1767.65;148.56;0.00;0.00;0.04546;0.00015
3556;09M102;0;30;5035.97;200.12;0.00;0.00;0.06575;0.00373
3557;09M103;5;41;7237.32;325.33;2201.35;0.00;0.01477;0.00631
3558;09M104;6;51;10490.61;382.22;3253.29;0.00;0.04178;0.00015
3567;09M10T;0;0;752.11;0.00;0.00;0.00;0.23121;0.00024
3559;09M111;0;6;1418.32;151.29;0.00;0.00;0.02597;0.00180
3560;09M112;5;26;4939.64;118.26;3521.32;0.00;0.00336;0.00122
3561;09M113;0;41;6713.60;301.82;0.00;0.00;0.00730;0.00148
3562;09M114;6;50;9736.78;363.86;3023.18;0.00;0.00730;0.00148
3568;09M11T;0;0;491.24;0.00;0.00;0.00;0.03831;0.00060
3563;09M12Z;0;0;686.08;0.00;0.00;0.00;0.01596;0.00074
3564;09M13Z;0;0;640.03;0.00;0.00;0.00;0.08466;0.00009
3569;09M14T;0;0;405.20;0.00;0.00;0.00;0.17210;0.13341
3565;09M14Z;0;8;1509.44;343.47;0.00;0.00;0.01626;0.00220
3566;09M15Z;0;0;1077.86;0.00;0.00;0.00;0.01503;0.00360
3717;10C021;3;17;5366.64;206.95;0.00;1274.18;0.00146;0.00623
3718;10C022;5;25;7022.30;526.43;1655.66;0.00;0.00065;0.00369
3719;10C023;8;46;18202.65;739.33;11180.35;0.00;0.00065;0.00369
3720;10C024;0;0;31233.56;0.00;0.00;0.00;0.00065;0.00369
3721;10C031;3;14;5233.78;146.78;0.00;1112.39;0.00028;0.00080
3722;10C032;5;25;6848.35;330.41;1614.57;0.00;0.00053;0.00083
3723;10C033;6;58;17751.74;568.84;10903.39;0.00;0.03314;0.00080
3724;10C034;0;0;30459.85;0.00;0.00;0.00;0.03314;0.00080
3725;10C051;2;7;3219.39;195.12;0.00;530.62;0.00054;0.00053
3726;10C052;0;15;4807.29;273.35;0.00;0.00;0.01569;0.00054
3727;10C053;0;43;12461.08;538.41;0.00;0.00;0.01569;0.00054
3728;10C054;0;0;21381.70;0.00;0.00;0.00;0.01569;0.00054
3729;10C071;2;6;2081.85;589.14;0.00;346.97;0.04536;0.00567
3730;10C072;0;0;2724.13;0.00;0.00;0.00;0.04536;0.00567
3731;10C073;0;0;7061.27;0.00;0.00;0.00;0.00000;0.00000
3732;10C074;0;0;12116.29;0.00;0.00;0.00;0.00112;0.02338
3733;10C081;3;10;3572.49;144.72;0.00;923.21;0.02366;0.16008
3734;10C082;0;37;8877.59;105.90;0.00;0.00;0.01451;0.16095
3735;10C083;8;73;12689.99;293.05;3812.40;0.00;0.01823;0.02861
