BTF_PRS_IDE;BTF_HIS_DTD;BTF_TAR_NAT;BTF_HIS_DTF;BTF_TAR_COF
1305;11DEC2005:00:00:00;B;31DEC9999:00:00:00;45.00
1307;11DEC2005:00:00:00;B;03NOV2011:00:00:00;60.00
1307;04NOV2011:00:00:00;B;31DEC9999:00:00:00;40.00
1308;11DEC2005:00:00:00;B;31DEC9999:00:00:00;60.00
1309;11DEC2005:00:00:00;B;31DEC9999:00:00:00;60.00
1310;11DEC2005:00:00:00;B;31DEC9999:00:00:00;30.00
1311;11DEC2005:00:00:00;B;31DEC9999:00:00:00;60.00
1312;11DEC2005:00:00:00;B;04SEP2014:00:00:00;120.00
1313;11DEC2005:00:00:00;B;31DEC9999:00:00:00;30.00
1316;11DEC2005:00:00:00;B;31DEC9999:00:00:00;40.00
1317;11DEC2005:00:00:00;B;31DEC9999:00:00:00;40.00
1318;11DEC2005:00:00:00;B;31DEC9999:00:00:00;60.00
1319;11DEC2005:00:00:00;B;31DEC9999:00:00:00;40.00
1323;11DEC2005:00:00:00;B;10FEB2011:00:00:00;30.00
1323;11FEB2011:00:00:00;B;31DEC9999:00:00:00;20.00
1324;11DEC2005:00:00:00;B;10FEB2011:00:00:00;60.00
1324;11FEB2011:00:00:00;B;31DEC9999:00:00:00;40.00
1326;11DEC2005:00:00:00;B;29JUN2018:00:00:00;20.00
1327;11DEC2005:00:00:00;B;10FEB2011:00:00:00;40.00
1327;11FEB2011:00:00:00;B;29JUN2018:00:00:00;30.00
1330;11DEC2005:00:00:00;B;28JUN2018:00:00:00;60.00
1331;11DEC2005:00:00:00;B;31DEC9999:00:00:00;40.00
1332;11DEC2005:00:00:00;B;10FEB2011:00:00:00;60.00
1332;11FEB2011:00:00:00;B;31DEC9999:00:00:00;50.00
1333;11DEC2005:00:00:00;B;31DEC9999:00:00:00;40.00
1334;11DEC2005:00:00:00;B;31DEC9999:00:00:00;30.00
1335;11DEC2005:00:00:00;B;31DEC9999:00:00:00;90.00
1336;11DEC2005:00:00:00;B;31DEC9999:00:00:00;60.00
1337;11DEC2005:00:00:00;B;31DEC9999:00:00:00;120.00
1339;11DEC2005:00:00:00;B;07FEB2009:00:00:00;180.00
1339;08FEB2009:00:00:00;B;15MAR2011:00:00:00;150.00
1374;28JAN2004:00:00:00;B;07FEB2009:00:00:00;70.00
1374;08FEB2009:00:00:00;B;18JAN2010:00:00:00;65.00
1374;19JAN2010:00:00:00;B;10FEB2011:00:00:00;60.00
1374;11FEB2011:00:00:00;B;30JAN2012:00:00:00;50.00
1374;31JAN2012:00:00:00;B;13APR2018:00:00:00;45.00
1376;30JUL1997:00:00:00;B;31DEC9999:00:00:00;120.00
1377;30APR2007:00:00:00;B;13APR2018:00:00:00;70.00
1385;04JUL2006:00:00:00;B;07FEB2009:00:00:00;100.00
1385;08FEB2009:00:00:00;B;10FEB2011:00:00:00;85.00
1385;11FEB2011:00:00:00;B;12JUL2017:00:00:00;66.00
1385;13JUL2017:00:00:00;B;13APR2018:00:00:00;66.00
1387;28JAN2004:00:00:00;B;07FEB2009:00:00:00;70.00
1387;08FEB2009:00:00:00;B;18JAN2010:00:00:00;65.00
1387;19JAN2010:00:00:00;B;10FEB2011:00:00:00;60.00
1387;11FEB2011:00:00:00;B;30JAN2012:00:00:00;50.00
1387;31JAN2012:00:00:00;B;13APR2018:00:00:00;45.00
1392;28JAN2004:00:00:00;B;31DEC9999:00:00:00;70.00
1393;28JAN2004:00:00:00;B;31DEC9999:00:00:00;130.00
1394;28JAN2004:00:00:00;B;31DEC9999:00:00:00;190.00
1414;11DEC2005:00:00:00;B;24DEC2008:00:00:00;60.00
1414;25DEC2008:00:00:00;B;31DEC9999:00:00:00;60.00
1415;11DEC2005:00:00:00;B;24DEC2008:00:00:00;100.00
1415;25DEC2008:00:00:00;B;31DEC9999:00:00:00;100.00
1416;25DEC2008:00:00:00;B;31DEC9999:00:00:00;60.00
1417;25DEC2008:00:00:00;B;31DEC9999:00:00:00;50.00
1418;25DEC2008:00:00:00;B;31DEC9999:00:00:00;40.00
1419;25DEC2008:00:00:00;B;31DEC9999:00:00:00;10.00
1420;30MAR1997:00:00:00;B;10FEB2011:00:00:00;60.00
1420;11FEB2011:00:00:00;B;31JAN2019:00:00:00;40.00
1421;30MAR1997:00:00:00;B;10FEB2011:00:00:00;80.00
1421;11FEB2011:00:00:00;B;31JAN2019:00:00:00;60.00
1422;30MAR1997:00:00:00;B;10FEB2011:00:00:00;60.00
1422;11FEB2011:00:00:00;B;01FEB2019:00:00:00;40.00
1423;30MAR1997:00:00:00;B;01FEB2019:00:00:00;60.00
1424;01JAN1996:00:00:00;B;01FEB2019:00:00:00;300.00
1425;01JAN1996:00:00:00;B;01FEB2019:00:00:00;300.00
1426;01JAN1996:00:00:00;B;01FEB2019:00:00:00;500.00
1430;30MAR1997:00:00:00;B;10FEB2011:00:00:00;60.00
1430;11FEB2011:00:00:00;B;01FEB2019:00:00:00;40.00
1431;30MAR1997:00:00:00;B;10FEB2011:00:00:00;80.00
1431;11FEB2011:00:00:00;B;01FEB2019:00:00:00;60.00
1432;30MAR1997:00:00:00;B;01FEB2019:00:00:00;40.00
1433;30MAR1997:00:00:00;B;01FEB2019:00:00:00;60.00
1434;01JAN1996:00:00:00;B;01FEB2019:00:00:00;300.00
1435;01JAN1996:00:00:00;B;01FEB2019:00:00:00;300.00
1436;01JAN1996:00:00:00;B;01FEB2019:00:00:00;500.00
1437;01JAN1996:00:00:00;B;10FEB2011:00:00:00;60.00
1437;11FEB2011:00:00:00;B;01FEB2019:00:00:00;40.00
1451;01JAN1996:00:00:00;B;30JAN2012:00:00:00;40.00
1451;31JAN2012:00:00:00;B;31MAR2019:00:00:00;35.00
1452;01JAN1996:00:00:00;B;30JAN2012:00:00:00;40.00
1452;31JAN2012:00:00:00;B;31MAR2019:00:00:00;35.00
1453;01JAN1996:00:00:00;B;04JAN2022:00:00:00;40.00
1454;27MAR1997:00:00:00;B;31DEC9999:00:00:00;40.00
1455;27MAR1997:00:00:00;B;04JAN2022:00:00:00;70.00
1456;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40.00
1457;01JAN1996:00:00:00;B;04JAN2022:00:00:00;70.00
1458;01JAN1996:00:00:00;B;31DEC9999:00:00:00;70.00
1459;01JAN1996:00:00:00;B;31DEC9999:00:00:00;70.00
1460;01DEC1998:00:00:00;B;31MAR2019:00:00:00;70.00
1461;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40.00
1462;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40.00
1463;01JAN1996:00:00:00;B;31DEC9999:00:00:00;70.00
1464;01JAN1996:00:00:00;B;25DEC2008:00:00:00;40.00
1465;01JAN1996:00:00:00;B;31DEC9999:00:00:00;80.00
1466;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40.00
1467;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40.00
1468;01JAN1996:00:00:00;B;31DEC9999:00:00:00;70.00
1469;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40.00
1470;01JAN1996:00:00:00;B;31DEC9999:00:00:00;70.00
1471;01JAN1996:00:00:00;B;31DEC9999:00:00:00;180.00
1472;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40.00
1473;01JAN1996:00:00:00;B;31DEC9999:00:00:00;70.00
1474;01JAN1996:00:00:00;B;25DEC2008:00:00:00;40.00
1475;01JAN1996:00:00:00;B;25DEC2008:00:00:00;40.00
1476;01JAN1996:00:00:00;B;25DEC2008:00:00:00;70.00
1477;01JAN1996:00:00:00;B;25DEC2008:00:00:00;70.00
1478;01JAN1996:00:00:00;B;31DEC9999:00:00:00;100.00
1479;01JAN1996:00:00:00;B;31DEC9999:00:00:00;100.00
1480;01JAN1996:00:00:00;B;31DEC9999:00:00:00;180.00
1481;28JAN2004:00:00:00;B;31DEC9999:00:00:00;40.00
1482;28JAN2004:00:00:00;B;31DEC9999:00:00:00;150.00
1483;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40.00
1484;11NOV2007:00:00:00;B;13APR2018:00:00:00;65.00
1485;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40.00
1486;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40.00
1487;11NOV2007:00:00:00;B;31MAR2017:00:00:00;65.00
1487;01APR2017:00:00:00;B;13APR2018:00:00:00;64.00
1488;11NOV2007:00:00:00;B;07FEB2009:00:00:00;130.00
1488;08FEB2009:00:00:00;B;12APR2014:00:00:00;120.00
1488;13APR2014:00:00:00;B;31MAR2017:00:00:00;115.00
1488;01APR2017:00:00:00;B;13APR2018:00:00:00;100.00
1489;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40.00
1490;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40.00
1491;01JAN1996:00:00:00;B;31DEC9999:00:00:00;70.00
1492;01JAN1996:00:00:00;B;31DEC9999:00:00:00;100.00
1493;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40.00
1494;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40.00
1495;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40.00
1496;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40.00
1497;01JAN1996:00:00:00;B;31DEC9999:00:00:00;70.00
1498;01DEC1998:00:00:00;B;31DEC9999:00:00:00;40.00
