ORG_NUM;ORG_GRG_COD;CTI_NUM;CTI_INF_NUM;CRA_COD;URC_ARH_COD;SLM_NUM;ORG_BSE_NUM;ORG_ORG_TYP;GEO_DPT_COD;GEO_COM_COD;ORG_ACO_COD;ORG_SLM_CLM;ORG_UGE_COD;ORG_SIR_NUM;ORG_CAI_NUM;GDP_NV0_COD;GDP_NV1_COD;GDP_NV2_COD;ORG_TOP_INF;TEC_COL
01C751978;1;36;35;75;11;;01C751;C;075;101;;;978;;751;;;;0;0
01C751979;1;36;35;75;11;;01C751;C;075;101;075072;;979;;751;;;;0;0
01C751984;1;36;35;75;11;;01C751;C;075;101;075072;;984;;751;;;;0;0
01C692553;1;25;16;69;84;;01C691;C;069;;;;553;;691;;;;0;0
01C692554;1;25;16;69;84;;01C691;C;069;264;069170;;554;;691;;;;0;0
01C691136;1;25;16;69;84;;01C691;C;069;381;069070;;136;;691;;;;0;0
01C691137;1;25;16;69;84;;01C691;C;069;381;069070;;137;;691;;;;0;0
01C691138;1;25;16;69;84;;01C691;C;069;381;069070;;138;;691;;;;0;0
01C691139;1;25;16;69;84;;01C691;C;069;381;069070;;139;;691;;;;0;0
01C691140;1;25;16;69;84;;01C691;C;069;381;069070;;140;;691;;;;0;0
01C691141;1;25;16;69;84;;01C691;C;069;381;069070;;141;;691;;;;0;0
01C691143;1;25;16;69;84;;01C691;C;069;381;069070;;143;;691;;;;0;0
01C691144;1;25;16;69;84;;01C691;C;069;381;069070;;144;;691;;;;0;0
01C691150;1;25;16;69;84;;01C691;C;069;381;069070;;150;;691;;;;0;0
01C691158;1;25;16;69;84;;01C691;C;069;381;069070;;158;;691;;;;0;0
01C682561;1;17;13;67;44;;01C682;C;068;224;068170;;561;;682;;;;0;0
01C682563;1;17;13;67;44;;01C682;C;068;224;068170;;563;;682;;;;0;0
01C682570;1;17;13;67;44;;01C682;C;068;224;068170;;570;;682;;;;0;0
01C682571;1;17;13;67;44;;01C682;C;068;224;068170;;571;;682;;;;0;0
01C682572;1;17;13;67;44;;01C682;C;068;;;;572;;682;;;;0;0
01C682573;1;17;13;67;44;;01C682;C;068;224;068170;;573;;682;;;;0;0
01C682574;1;17;13;67;44;;01C682;C;068;224;068170;;574;;682;;;;0;0
01C682575;1;17;13;67;44;;01C682;C;068;;;;575;;682;;;;0;0
01C682576;1;17;13;67;44;;01C682;C;068;224;068170;;576;;682;;;;0;0
01C682577;1;17;13;67;44;;01C682;C;068;224;068170;;577;;682;;;;0;0
01C751985;1;36;35;75;11;;01C751;C;075;101;075072;;985;;751;;;;0;0
01C751987;1;36;35;75;11;;01C751;C;075;101;075072;;987;;751;;;;0;0
01C751989;1;36;35;75;11;;01C751;C;075;101;075072;;989;;751;;;;0;0
01C751990;1;36;35;75;11;;01C751;C;075;101;075072;;990;;751;;;;0;0
01C751998;1;36;35;75;11;;01C751;C;075;101;075072;;998;;751;;;;0;0
01C682082;1;17;13;67;44;;01C682;C;068;224;068170;;82;;682;;;;0;0
01C682083;1;17;13;67;44;;01C682;C;068;224;068170;;83;;682;;;;0;0
01C682084;1;17;13;67;44;;01C682;C;068;224;068170;;84;;682;;;;0;0
01C682085;1;17;13;67;44;;01C682;C;068;224;068170;;85;;682;;;;0;0
01C671291;1;17;13;67;44;;01C673;C;067;180;067071;;291;;673;;;;0;0
01C671294;1;17;13;67;44;;01C673;C;067;180;067071;;294;;673;;;;0;0
01C671295;1;17;13;67;44;;01C673;C;067;180;067071;;295;;673;;;;0;0
01C671297;1;17;13;67;44;;01C673;C;067;180;067071;;297;;673;;;;0;0
01C671299;1;17;13;67;44;;01C673;C;067;180;;;299;;673;;;;0;0
01C671300;1;17;13;67;44;;01C673;C;067;180;067071;;300;;673;;;;0;0
01C671301;1;17;13;67;44;;01C673;C;067;180;067071;;301;;673;;;;0;0
01C671303;1;17;13;67;44;;01C673;C;067;;;;303;;673;;;;0;0
01C671306;1;17;13;67;44;;01C673;C;067;180;067071;;306;;673;;;;0;0
01C671314;1;17;13;67;44;;01C673;C;067;180;067071;;314;;673;;;;0;0
01C671315;1;17;13;67;44;;01C673;C;067;180;;;315;;673;;;;0;0
01C671318;1;17;13;67;44;;01C673;C;067;180;067071;;318;;673;;;;0;0
01C671321;1;17;13;67;44;;01C673;C;067;180;067071;;321;;673;;;;0;0
01C682578;1;17;13;67;44;;01C682;C;068;224;068170;;578;;682;;;;0;0
01C682579;1;17;13;67;44;;01C682;C;068;224;068170;;579;;682;;;;0;0
01C751593;1;36;35;75;11;;01C751;C;075;101;075072;;593;;751;;;;0;0
01C751594;1;36;35;75;11;;01C751;C;075;101;075072;;594;;751;;;;0;0
01C751595;1;36;35;75;11;;01C751;C;075;101;075072;;595;;751;;;;0;0
01C751596;1;36;35;75;11;;01C751;C;075;101;075072;;596;;751;;;;0;0
01C751599;1;36;35;75;11;;01C751;C;075;101;075072;;599;;751;;;;0;0
01C751601;1;36;35;75;11;;01C751;C;075;101;075072;;601;;751;;;;0;0
01C721717;1;23;23;44;52;;01C721;C;072;181;072070;;717;;721;;;;0;0
01C721718;1;23;23;44;52;;01C721;C;072;181;072070;;718;;721;;;;0;0
01C721720;1;23;23;44;52;;01C721;C;072;181;072070;;720;;721;;;;0;0
01C721721;1;23;23;44;52;;01C721;C;072;181;072070;;721;;721;;;;0;0
01C721725;1;23;23;44;52;;01C721;C;072;181;072070;;725;;721;;;;0;0
01C721726;1;23;23;44;52;;01C721;C;072;181;072070;;726;;721;;;;0;0
01C721730;1;23;23;44;52;;01C721;C;072;181;072070;;730;;721;;;;0;0
01C721731;1;23;23;44;52;;01C721;C;072;181;072070;;731;;721;;;;0;0
01C751344;1;36;35;75;11;;01C751;C;075;101;075072;;344;;751;;;;0;0
01C751347;1;36;35;75;11;;01C751;C;075;101;075072;;347;;751;;;;0;0
01C751349;1;36;35;75;11;;01C751;C;075;101;075072;;349;;751;;;;0;0
01C751350;1;36;35;75;11;;01C751;C;075;101;075072;;350;;751;;;;0;0
