INV_SDV_COD;GRG_COD;URC_ARH_COD;ORG_CAI_NUM;ORG_BSE_NUM;COL_TRI;COL_COM;INV_SDV_LIB
315;1;0;673;01C673;98;;RG : CPAM du Bas-Rhin
316;1;0;673;01C673;99;;RG : CPAM du Bas-Rhin - hors SLM
315;1;0;251;01C251;100;;RG : CPAM du Doubs
316;1;0;251;01C251;101;;RG : CPAM du Doubs - hors SLM
315;1;0;291;01C291;102;;RG : CPAM du Finistère
316;1;0;291;01C291;103;;RG : CPAM du Finistère - hors SLM
315;1;0;599;01C599;104;;RG : CPAM du Hainaut
316;1;0;599;01C599;105;;RG : CPAM du Hainaut - hors SLM
315;1;0;682;01C682;106;;RG : CPAM du Haut-Rhin
316;1;0;682;01C682;107;;RG : CPAM du Haut-Rhin - hors SLM
315;1;0;691;01C691;108;;RG : CPAM du Rhône
316;1;0;691;01C691;109;;RG : CPAM du Rhône - hors SLM
315;1;0;881;01C881;110;;RG : CPAM Epinal
316;1;0;881;01C881;111;;RG : CPAM Epinal - hors SLM
315;1;0;271;01C271;112;;RG : CPAM Evreux
316;1;0;271;01C271;113;;RG : CPAM Evreux - hors SLM
315;1;0;911;01C911;114;;RG : CPAM Evry
316;1;0;911;01C911;115;;RG : CPAM Evry - hors SLM
315;1;0;091;01C091;116;;RG : CPAM Foix
316;1;0;091;01C091;117;;RG : CPAM Foix - hors SLM
315;1;0;051;01C051;118;;RG : CPAM Gap
316;1;0;051;01C051;119;;RG : CPAM Gap - hors SLM
315;1;0;231;01C231;120;;RG : CPAM Gueret
316;1;0;231;01C231;121;;RG : CPAM Gueret - hors SLM
315;1;0;171;01C171;122;;RG : CPAM La Rochelle
316;1;0;171;01C171;123;;RG : CPAM La Rochelle - hors SLM
315;1;0;851;01C851;124;;RG : CPAM La Roche-sur-Yon
316;1;0;851;01C851;125;;RG : CPAM La Roche-sur-Yon - hors SLM
315;1;0;531;01C531;126;;RG : CPAM Laval
316;1;0;531;01C531;127;;RG : CPAM Laval - hors SLM
315;1;0;763;01C763;128;;RG : CPAM Le Havre
316;1;0;763;01C763;129;;RG : CPAM Le Havre - hors SLM
315;1;0;721;01C721;130;;RG : CPAM Le Mans
316;1;0;721;01C721;131;;RG : CPAM Le Mans - hors SLM
315;1;0;431;01C431;132;;RG : CPAM Le Puy
316;1;0;431;01C431;133;;RG : CPAM Le Puy - hors SLM
315;1;0;871;01C871;134;;RG : CPAM Limoges
316;1;0;871;01C871;135;;RG : CPAM Limoges - hors SLM
315;1;0;391;01C391;136;;RG : CPAM Lons-le-Saunier
316;1;0;391;01C391;137;;RG : CPAM Lons-le-Saunier - hors SLM
315;1;0;711;01C711;138;;RG : CPAM Macon
311;1;0;000;000000;1;;RG :  France entière
312;1;0;000;000000;2;;RG :  France hors DOM
313;1;0;000;000000;3;;RG :  France entière hors SLM
314;1;0;000;000000;4;;RG :  France hors DOM hors SLM
315;1;0;471;01C471;5;;RG : CPAM Agen
316;1;0;471;01C471;6;;RG : CPAM Agen - hors SLM
315;1;0;201;01C201;7;;RG : CPAM Ajaccio
316;1;0;201;01C201;8;;RG : CPAM Ajaccio - hors SLM
315;1;0;811;01C811;9;;RG : CPAM Albi
316;1;0;811;01C811;10;;RG : CPAM Albi - hors SLM
315;1;0;611;01C611;11;;RG : CPAM Alencon
316;1;0;611;01C611;12;;RG : CPAM Alencon - hors SLM
315;1;0;801;01C801;13;;RG : CPAM Amiens
316;1;0;801;01C801;14;;RG : CPAM Amiens - hors SLM
315;1;0;161;01C161;15;;RG : CPAM Angouleme
316;1;0;161;01C161;16;;RG : CPAM Angouleme - hors SLM
315;1;0;741;01C741;17;;RG : CPAM Annecy
316;1;0;741;01C741;18;;RG : CPAM Annecy - hors SLM
315;1;0;321;01C321;19;;RG : CPAM Auch
