UCD_COD;APP_DTE;UCD_TTC_MNT
9275282;01JAN2010:00:00:00;75.81
9275299;01JAN2010:00:00:00;75.81
9275307;01JAN2010:00:00:00;36.76
9275313;01JAN2010:00:00:00;73.51
9275684;01JAN2010:00:00:00;260.36
9275690;01JAN2010:00:00:00;140.90
9275715;01JAN2014:00:00:00;453.54
9275891;01JAN2010:00:00:00;2.87
9277186;01JAN2012:00:00:00;234.32
9277192;01JAN2012:00:00:00;126.81
9278091;01JAN2010:00:00:00;153.15
9278116;01JAN2010:00:00:00;45.95
9278122;01JAN2010:00:00:00;459.45
9278582;01JAN2012:00:00:00;1.92
9278599;01JAN2010:00:00:00;1.18
9279038;01MAY2009:00:00:00;816.80
9279966;01JAN2010:00:00:00;648.34
9279972;01JAN2012:00:00:00;5.66
9280030;01JAN2010:00:00:00;2.13
9280047;01JAN2010:00:00:00;9.27
9280053;01JAN2010:00:00:00;3.73
9280403;01JAN2010:00:00:00;73.51
9280596;01JAN2010:00:00:00;6.05
9280797;01JAN2010:00:00:00;260.36
9280805;01JAN2010:00:00:00;325.44
9281070;01JAN2010:00:00:00;156.21
9281087;01JAN2010:00:00:00;312.43
9281093;01JAN2010:00:00:00;156.21
9281101;01JAN2010:00:00:00;312.43
9281118;01JAN2010:00:00:00;156.21
9281124;01JAN2010:00:00:00;312.43
9281130;01JAN2010:00:00:00;156.21
9281147;01JAN2010:00:00:00;312.43
9281176;01JAN2010:00:00:00;22.46
9281182;01JAN2010:00:00:00;105.16
9281199;01JAN2010:00:00:00;336.93
9281348;01JAN2010:00:00:00;
9281360;01JAN2011:00:00:00;510.91
9281377;01JAN2011:00:00:00;127.73
9281383;01JAN2011:00:00:00;255.45
9282709;01JAN2011:00:00:00;42.58
9282715;01JAN2011:00:00:00;425.76
9282721;01JAN2011:00:00:00;106.44
9009994;01JAN2010:00:00:00;26.11
9010750;01JAN2010:00:00:00;29.13
9019840;01JAN2010:00:00:00;2.76
9019857;01JAN2010:00:00:00;4.59
9024114;01JAN2010:00:00:00;0.34
9025711;01JAN2010:00:00:00;4.40
9036689;01JAN2010:00:00:00;7.15
9043494;01JAN2010:00:00:00;11.00
